nachname;vorname;geburtsjahr;partei;wahlkreis;landeslistePlatz;bundesland;jahr
Schiller;Manfred Leonhard;1961;AfD;235;15;Bayern;2021
Klotz;Silke;1973;FDP;235;43;Bayern;2021
Droste;Anneliese;1967;GRÜNE;235;41;Bayern;2021
Weidner;Christian Claus;1969;DIE LINKE;235;;;2021
Groß;Tobias Anton;1981;FREIE WÄHLER;235;25;Bayern;2021
Wallmeyer;Christian;1973;ÖDP;235;;;2021
Bayer;Roland Peter;1977;BP;235;7;Bayern;2021
Assel;Dietmar Rudolf;1966;dieBasis;235;12;Bayern;2021
Bauer;Helmut Richard Andreas;1959;EB: Bauer 235; 235;;;2021
Dippel;Konrad Willibald;1971;EB: Dippel 235; 235;2;Bayern;2021
Silberhorn;Thomas;1968;CSU;236;;;2021
Schwarz;Andreas;1965;SPD;236;11;Bayern;2021
Weiß;Michael Adam;1969;AfD;236;22;Bayern;2021
Bachmann;Sven Wilhelm;1975;FDP;236;54;Bayern;2021
Badum;Lisa Hildegard;1983;GRÜNE;236;9;Bayern;2021
Jaegers;Jan;1995;DIE LINKE;236;;;2021
Herzog;Jens;1982;FREIE WÄHLER;236;8;Bayern;2021
Lösel;Lisa;1998;ÖDP;236;;;2021
Dotzler;Thomas;1965;BP;236;11;Bayern;2021
Mari;Paul;2002;Die PARTEI;236;24;Bayern;2021
Gmelch;Therese;1955;MLPD;236;2;Bayern;2021
Wezel;Sabine;1966;dieBasis;236;35;Bayern;2021
Brünker;Hans-Günter;1967;Volt;236;2;Bayern;2021
Roensch;Andreas;1977;EB: Roensch 236; 236;;;2021
Launert;Silke;1976;CSU;237;16;Bayern;2021
Kramme;Anette;1967;SPD;237;4;Bayern;2021
Peterka;Tobias Matthias;1982;AfD;237;10;Bayern;2021
Hacker;Thomas;1967;FDP;237;13;Bayern;2021
Bauer;Susanne Iris;1977;GRÜNE;237;32;Bayern;2021
Schröder;Sven;1983;DIE LINKE;237;;;2021
Dressendörfer;Corey Allen;1988;FREIE WÄHLER;237;;;2021
Hopp;Dominic Ernst;1990;ÖDP;237;;;2021
Weiß;Florens Jonas;1982;Die PARTEI;237;;;2021
Engel;Markus Andreas;1962;dieBasis;237;;;2021
Geissler;Jonas Alexander Tecumseh;1984;CSU;238;;;2021
Brehm;Ramona;1990;SPD;238;26;Bayern;2021
Görtler;Sebastian Johannes;1984;AfD;238;;;2021
Peter;Jens-Uwe;1983;FDP;238;55;Bayern;2021
Wagner;Johannes;1991;GRÜNE;238;16;Bayern;2021
Wunderlich;Ulf;1998;DIE LINKE;238;;;2021
Möbus;Rainer;1962;FREIE WÄHLER;238;28;Bayern;2021
Wolf;Tristan Peter;1990;ÖDP;238;;;2021
Wächter;Andre Mike;1973;BP;238;;;2021
Ströhlein;Tim Harald;1989;Die PARTEI;238;;;2021
Engel;Stefan Klaus;1954;MLPD;238;3;Thüringen;2021
Fredriksen;Nicole;1977;dieBasis;238;15;Bayern;2021
Friedrich;Hans-Peter;1957;CSU;239;5;Bayern;2021
Nürnberger;Jörg Mathias;1967;SPD;239;19;Bayern;2021
Kögler;Gerd Siegfried;1967;AfD;239;16;Bayern;2021
Wölfel;Gabriel;1998;FDP;239;33;Bayern;2021
Reusch;Ralf;1963;GRÜNE;239;60;Bayern;2021
Damasceno da Costa e Silva;Janson;1990;DIE LINKE;239;20;Bayern;2021
Schinner;Thomas;1970;FREIE WÄHLER;239;39;Bayern;2021
Müller;Roland;1959;ÖDP;239;;;2021
Pokorny;Steffen Armin;1984;Die PARTEI;239;8;Bayern;2021
Kunisch;Walter;1952;dieBasis;239;;;2021
Thümmel;Verena;1974;Bündnis C;239;4;Bayern;2021
Löhnert;Martin Christoph;2000;EB: Löhnert 239; 239;;;2021
Zeulner;Emmi;1987;CSU;240;10;Bayern;2021
Moritz;Simon Bodo;1984;SPD;240;35;Bayern;2021
Taubmann;Theo;1955;AfD;240;;;2021
Ehrhardt;Claus Achim;1963;FDP;240;64;Bayern;2021
Pfeiffer;Martin Herbert;1961;GRÜNE;240;62;Bayern;2021
Baumgartner;Ludwig;1978;DIE LINKE;240;;;2021
Bergmann;Jochen Sebastian;1989;FREIE WÄHLER;240;12;Bayern;2021
Zenker;Kay-Uwe;1978;ÖDP;240;;;2021
Sedlmeyer;Gunther;1958;BP;240;33;Bayern;2021
Goller;Sven;1990;Die PARTEI;240;4;Bayern;2021
Gebelein;Otto;1961;dieBasis;240;;;2021
Auernhammer;Artur;1963;CSU;241;;;2021
Scheuenstuhl;Harry Herbert;1961;SPD;241;33;Bayern;2021
Lösch;Daniel;1999;AfD;241;;;2021
Kestler;Thomas Alexander;1975;FDP;241;;;2021
Sirois;Herbert Peter;1965;GRÜNE;241;36;Bayern;2021
Dinar;Erkan;1980;DIE LINKE;241;;;2021
Bogenreuther;Sylvia;1966;FREIE WÄHLER;241;29;Bayern;2021
Welser;Kilian;1976;ÖDP;241;;;2021
Wanger;Markus Stephan;1983;PIRATEN;241;14;Bayern;2021
Langen;Maik;1979;NPD;241;;;2021
Engelhardt;Markus;1979;dieBasis;241;;;2021
Müller;Stefan;1975;CSU;242;9;Bayern;2021
Stamm-Fibich;Martina Margarete;1965;SPD;242;18;Bayern;2021
Beßler;Christian Burkhard;1970;AfD;242;17;Bayern;2021
Schwab;Ralf;1958;FDP;242;58;Bayern;2021
Prietz;Tina Luisa;1993;GRÜNE;242;29;Bayern;2021
Häusler;Anna-Carina;1989;FREIE WÄHLER;242;15;Bayern;2021
Stadelmann;Christian Günter;1991;ÖDP;242;37;Bayern;2021
Müller;Stefan;1968;Die PARTEI;242;;;2021
Purzner;Jürgen;1963;PIRATEN;242;23;Bayern;2021
Straub;Richard Nikolaus;1952;MLPD;242;;;2021
Weber;Torsten;1974;dieBasis;242;22;Bayern;2021
Kunstmann;Adam;1976;EB: Kunstmann 242; 242;;;2021
Kalupner;Rüdiger Dietmar;1940;EB: Kalupner 242; 242;;;2021
Henig;Susanne;1988;EB: Henig 242; 242;;;2021
Winkler;Tobias;1978;CSU;243;35;Bayern;2021
Träger;Carsten Dietmar;1973;SPD;243;3;Bayern;2021
Klaukien;Thomas Adolf;1961;AfD;243;;;2021
Bayer;Daniel Rene;1996;FDP;243;38;Bayern;2021
Kekeritz;Uwe Adolf Otto;1953;GRÜNE;243;20;Bayern;2021
Ruttmann;Hermann;1964;DIE LINKE;243;10;Bayern;2021
Mielchen;Stefan;1967;FREIE WÄHLER;243;40;Bayern;2021
John;Klaus;1959;ÖDP;243;;;2021
Brendecke;Fatimah;1965;BP;243;;;2021
Walther;Catalina Sine;2003;Die PARTEI;243;;;2021
Reber;Katrin;1966;dieBasis;243;14;Bayern;2021
Wiedenmann;Stephan;1998;Die Humanisten;243;;;2021
Schmidtell;Andreas Stefan;1998;Volt;243;;;2021
Brehm;Sebastian;1971;CSU;244;15;Bayern;2021
Heinrich;Gabriela;1963;SPD;244;8;Bayern;2021
Sichert;Martin Johannes;1980;AfD;244;5;Bayern;2021
Hessel;Katja;1972;FDP;244;2;Bayern;2021
Ganserer;Markus (Tessa);1977;GRÜNE;244;13;Bayern;2021
Schüller;Titus;1986;DIE LINKE;244;6;Bayern;2021
Estrada;Thomas Michael;1985;FREIE WÄHLER;244;21;Bayern;2021
Rechholz;Christian Gerhard Wolfgang;1972;ÖDP;244;1;Bayern;2021
Küffner;Lukas;2001;PIRATEN;244;;;2021
Barimis;Michel;1987;MLPD;244;5;Bayern;2021
Kinzel;Klaus Christian;1967;dieBasis;244;33;Bayern;2021
Penninger;Christian;1984;Volt;244;12;Bayern;2021
Eppel;Markus Peter;1980;EB: Eppel 244; 244;;;2021
Frieser;Michael;1964;CSU;245;13;Bayern;2021
Grämmer;Thomas Robert;1981;SPD;245;31;Bayern;2021
Vogler;Matthias;1981;AfD;245;;;2021
Preißinger;Marco Ramon;1997;FDP;245;26;Bayern;2021
Müller;Sascha;1970;GRÜNE;245;6;Bayern;2021
Flach Gomez;Kathrin;1986;DIE LINKE;245;9;Bayern;2021
Mack;Sonja;1979;FREIE WÄHLER;245;34;Bayern;2021
Zankl;Claudia;1988;ÖDP;245;;;2021
Polster-Strobl;Karoline Cornelia;1979;dieBasis;245;18;Bayern;2021
Çelik;Deniz Oruç;1996;Volt;245;18;Bayern;2021
Edelhäußer;Ralph;1973;CSU;246;;;2021
Plobner;Jan Heinz Stefan;1992;SPD;246;23;Bayern;2021
Norgall;Klaus;1953;AfD;246;;;2021
Lütke;Kristine;1982;FDP;246;12;Bayern;2021
Erbe;Felix Dorian;1986;GRÜNE;246;40;Bayern;2021
Schötz;Evelyn;1961;DIE LINKE;246;11;Bayern;2021
Locke;Felix Johannes;1988;FREIE WÄHLER;246;4;Bayern;2021
Henninger;Pascal Andreas;1993;ÖDP;246;;;2021
Weggenmann;Max Christian;1990;Die PARTEI;246;2;Bayern;2021
Häffner;Julian Johannes;2003;PIRATEN;246;11;Bayern;2021
Kuschel;Stefan Heinz;1982;dieBasis;246;39;Bayern;2021
Nehring;Marcus;1974;LKR;246;6;Bayern;2021
Schlot;Udo;1955;EB: Schlot 246; 246;;;2021
Lindholz;Andrea;1970;CSU;247;6;Bayern;2021
Wüst;Tobias Rainer;1995;SPD;247;37;Bayern;2021
Baumann;Jörg Anton;1981;AfD;247;;;2021
Klein;Karsten;1977;FDP;247;3;Bayern;2021
Wagener;Niklas;1998;GRÜNE;247;14;Bayern;2021
Hofmann;Florian;1996;DIE LINKE;247;;;2021
Withauer;Benjamin Joachim Michael;1977;FREIE WÄHLER;247;;;2021
Dehn;Katharina;1985;ÖDP;247;;;2021
Reiniger;Andreas Walter Karl;1985;BP;247;29;Bayern;2021
Portscher;Andreas Nikolas;1989;Die PARTEI;247;;;2021
Arnold;Bendrick;1946;MLPD;247;21;Bayern;2021
Pflug;Sylvia;1973;dieBasis;247;;;2021
Stenger;Holger Johannes;1961;LKR;247;7;Bayern;2021
Lembach;Ralf Josef;1982;EB: Lembach 247; 247;;;2021
Bär;Dorothee Gisela Renate Maria;1978;CSU;248;2;Bayern;2021
Dittmar;Sabine;1964;SPD;248;14;Bayern;2021
Lippold-Eggen;Freia;1955;AfD;248;;;2021
Schenk Graf von Stauffenberg;Maximilian Karl;1970;FDP;248;22;Bayern;2021
Rottmann;Manuela;1972;GRÜNE;248;5;Bayern;2021
Scheeres;Claus;1988;DIE LINKE;248;;;2021
Helmerich;Frank;1977;FREIE WÄHLER;248;51;Bayern;2021
Reinhard;Michaela Elisabeth;1974;ÖDP;248;36;Bayern;2021
Johannes;Sonja;1970;Die PARTEI;248;;;2021
Garnache;Marco;1983;dieBasis;248;;;2021
Kaiser;Michael;1989;EB: Kaiser 248; 248;;;2021
Hoffmann;Alexander;1975;CSU;249;;;2021
Rützel;Bernd Ferdinand;1968;SPD;249;7;Bayern;2021
Jentzsch;René;1975;AfD;249;;;2021
Jannek;Werner Bruno;1957;FDP;249;42;Bayern;2021
Beck;Armin;1968;GRÜNE;249;56;Bayern;2021
Adrian;Andreas;1999;DIE LINKE;249;;;2021
Klug;Jessica Andrea;1996;FREIE WÄHLER;249;6;Bayern;2021
Winter;Wolfgang Franz;1957;ÖDP;249;;;2021
Schmitt;Sabine Theresia;1967;dieBasis;249;;;2021
Roth;Daniel Dieter Bernhard;1989;LKR;249;11;Bayern;2021
Weisgerber;Anja;1976;CSU;250;8;Bayern;2021
Hümpfer;Markus Klaus;1992;SPD;250;21;Bayern;2021
Schuhmann;Bernd Willi Karl;1964;AfD;250;20;Bayern;2021
Stark;Daniel;1983;FDP;250;61;Bayern;2021
Lommatzsch;Nicolas;1989;GRÜNE;250;;;2021
Ernst;Klaus Friedrich;1954;DIE LINKE;250;2;Bayern;2021
Graham;Andrea Brenda;1977;FREIE WÄHLER;250;;;2021
Hrnicek-Hubert;Stefan;1963;ÖDP;250;;;2021
Van Huet;Cedrick;2003;BP;250;35;Bayern;2021
Setter;Manfred Johannes;1952;MLPD;250;11;Bayern;2021
Trasente;Pasquale;1974;dieBasis;250;63;Bayern;2021
Lorey;Herbert Sebastian;1963;UNABHÄNGIGE;250;3;Bayern;2021
Lehrieder;Paul Alois;1959;CSU;251;33;Bayern;2021
Altenhöner;Freya;1988;SPD;251;30;Bayern;2021
Ullmann;Andrew John;1963;FDP;251;10;Bayern;2021
Hansen;Johannes Sebastian;1995;GRÜNE;251;26;Bayern;2021
Barrientos Krauss;Simone Anita;1963;DIE LINKE;251;5;Bayern;2021
Starosta;Robert Peter;1970;FREIE WÄHLER;251;;;2021
Wierlemann;Stefanie Erika;1977;ÖDP;251;;;2021
Hämmelmann;Robert Kurt;1964;dieBasis;251;52;Bayern;2021
Herter;Thomas;1986;Die Humanisten;251;;;2021
Schürer;Horst Michael;1961;EB: Schürer 251; 251;;;2021
Ullrich;Volker Michael;1975;CSU;252;19;Bayern;2021
Bahr;Ulrike Renate Martina;1964;SPD;252;16;Bayern;2021
Scheirich;Raimond Christian;1990;AfD;252;25;Bayern;2021
Meyer;Alexander;1970;FDP;252;36;Bayern;2021
Roth;Claudia Benedikta;1955;GRÜNE;252;1;Bayern;2021
Hintermayr;Frederik Maximilian;1992;DIE LINKE;252;8;Bayern;2021
Müller;Bernhard;1963;FREIE WÄHLER;252;38;Bayern;2021
Mai;Alexander;1996;ÖDP;252;32;Bayern;2021
Steinböck;Anton;1943;BP;252;;;2021
Kurschat;Roland;1986;Die PARTEI;252;;;2021
Weingart;Anna Xenia;1994;V-Partei³;252;10;Bayern;2021
Bauer;Emil Karl Eckehard;1953;MLPD;252;3;Bayern;2021
Jaeger;Klaus;1952;dieBasis;252;47;Bayern;2021
Rüttiger;Nelly Dorothea;1989;Volt;252;5;Bayern;2021
Kolb;Alexandra Theresa;1966;EB: Kolb 252; 252;;;2021
Sirin;Ediz Lokman Can;2000;EB: Sirin 252; 252;;;2021
Durz;Hansjörg;1971;CSU;253;;;2021
Heubach;Heike;1979;SPD;253;24;Bayern;2021
Kraft;Rainer Detlef;1974;AfD;253;8;Bayern;2021
Krause;Matthias;1991;FDP;253;32;Bayern;2021
Lindauer;Stefan Christian Xaver;1996;GRÜNE;253;46;Bayern;2021
Tuncer;Cengiz;1970;DIE LINKE;253;;;2021
Jakob;Marina;1988;FREIE WÄHLER;253;10;Bayern;2021
Lidl;Thomas;1980;ÖDP;253;;;2021
Denner;Alexander;1982;dieBasis;253;6;Bayern;2021
Baydar;Sami;1991;EB: Baydar 253; 253;4;Bayern;2021
Lange;Ulrich;1969;CSU;254;;;2021
Schmid;Christoph Florian;1976;SPD;254;9;Bayern;2021
Schwarz;Edeltraud;1967;AfD;254;;;2021
Schürdt;Marcus Christoph;1976;FDP;254;47;Bayern;2021
Norder-Freiherr von Hauch;Stefan;1977;GRÜNE;254;58;Bayern;2021
Seel;Manfred;1954;DIE LINKE;254;;;2021
Reiner;Ulrich Manfred;1988;FREIE WÄHLER;254;33;Bayern;2021
Feldmeier;Dieter Stefan;1982;ÖDP;254;;;2021
Burger;Kristin;1992;V-Partei³;254;6;Bayern;2021
Riesner;Dagmar Barbara;1969;dieBasis;254;7;Bayern;2021
Zühlke;Erich Roland Dieter;1958;LKR;254;1;Bayern;2021
Gerke;Harald;1960;UNABHÄNGIGE;254;4;Bayern;2021
Engelhard;Alexander;1972;CSU;255;;;2021
Brunner;Karl Heinz;1953;SPD;255;;;2021
Mannes;Gerd Michael;1969;AfD;255;;;2021
Hillmann-Richter;Anke;1973;FDP;255;31;Bayern;2021
Deligöz;Ekin;1971;GRÜNE;255;3;Bayern;2021
Merk;Xaver;1953;DIE LINKE;255;;;2021
Mayer;Daniel;1992;FREIE WÄHLER;255;19;Bayern;2021
Dornach;Krimhilde Marianne;1966;ÖDP;255;;;2021
Röhm;Bastian Thomas;1985;Tierschutzpartei;255;11;Baden-Württemberg;2021
Meier;Philipp;1978;PIRATEN;255;;;2021
Albrecht;Roman;1992;dieBasis;255;43;Bayern;2021
Lipp;Florian Martin;1989;Volt;255;;;2021
Langhans;Daniel Johannes Maria;1958;EB: Langhans 255; 255;;;2021
Wittmann;Mechthilde;1967;CSU;256;14;Bayern;2021
Holderied;Martin Basil;1990;SPD;256;41;Bayern;2021
Rothfuß;Rainer;1971;AfD;256;13;Bayern;2021
Thomae;Stephan;1968;FDP;256;6;Bayern;2021
Bandte;Pius;1998;GRÜNE;256;34;Bayern;2021
Blessing;Engelbert Anton;1985;DIE LINKE;256;26;Bayern;2021
Hauser-Felberbaum;Annette Elisabeth;1961;FREIE WÄHLER;256;2;Bayern;2021
Natterer-Babych;Franz Josef;1975;ÖDP;256;23;Bayern;2021
Schwellinger;Tommy;1984;Die PARTEI;256;11;Bayern;2021
Frey;Marcel Norbert;1989;V-Partei³;256;4;Bayern;2021
Busacker;Dietrich Karl Arnold;1957;dieBasis;256;16;Bayern;2021
Dorn;Alfred;1969;EB: Dorn 256; 256;;;2021
Stracke;Stephan;1974;CSU;257;;;2021
Leenders;Regina;1990;SPD;257;34;Bayern;2021
Sedlmeir;Christian Anton;1964;AfD;257;;;2021
Fackler;Kai Fabian;2002;FDP;257;40;Bayern;2021
Pflügl;Daniel Josef;1975;GRÜNE;257;24;Bayern;2021
Ferschl;Susanne;1973;DIE LINKE;257;3;Bayern;2021
Braunmiller;Mariana;1982;FREIE WÄHLER;257;26;Bayern;2021
Abt;Alexander;1971;ÖDP;257;5;Bayern;2021
Armster;Christian Friederich;1969;Die PARTEI;257;58;Bayern;2021
Hofer;Christiana;1978;V-Partei³;257;9;Bayern;2021
Mayr;Florian Markus;1979;dieBasis;257;9;Bayern;2021
Kaufmann;Stefan;1969;CDU;258;7;Baden-Württemberg;2021
Schanbacher;Anna Lucia;1989;SPD;258;23;Baden-Württemberg;2021
Özdemir;Cem;1965;GRÜNE;258;2;Baden-Württemberg;2021
Skudelny;Judith Sandra;1975;FDP;258;2;Baden-Württemberg;2021
Spaniel;Dirk;1971;AfD;258;3;Baden-Württemberg;2021
Riexinger;Bernd Karl;1955;DIE LINKE;258;1;Baden-Württemberg;2021
Krohn;Marcel;1968;Tierschutzpartei;258;5;Baden-Württemberg;2021
Lehmann;Xenia Mareike;2002;Die PARTEI;258;10;Baden-Württemberg;2021
Wirthwein;Klaus;1957;FREIE WÄHLER;258;1;Baden-Württemberg;2021
Jakobeit;Heinz Peter;1955;DiB;258;2;Baden-Württemberg;2021
Scheller;Julia Sarah;1982;MLPD;258;2;Baden-Württemberg;2021
Nikola;Miriam Nathalie;1975;dieBasis;258;17;Baden-Württemberg;2021
Schertlen;Ralph;1969;BÜRGERBEWEGUNG;258;3;Baden-Württemberg;2021
Stegemann;Berthold;1996;Die Humanisten;258;;;2021
Böcklen;Julia Sophie;1994;Volt;258;7;Baden-Württemberg;2021
Schuller;Marc;1979;BüSo;258;;;2021
Ressdorf;Werner;1954;EB: Ressdorf 258; 258;;;2021
Mörseburg;Maximilian Rick;1992;CDU;259;;;2021
Perc;Dejan;1975;SPD;259;30;Baden-Württemberg;2021
Christmann;Anna Maria;1983;GRÜNE;259;8;Baden-Württemberg;2021
Lutfullin;Timur;1986;FDP;259;21;Baden-Württemberg;2021
Mayer;Michael Hans;1954;AfD;259;;;2021
Tiarks;Johanna Maria;1982;DIE LINKE;259;13;Baden-Württemberg;2021
Gottfried;Matthias;1987;Tierschutzpartei;259;10;Baden-Württemberg;2021
Westenberg;Tim Fabian;1982;Die PARTEI;259;32;Baden-Württemberg;2021
Wendel;Ralf Peter;1955;FREIE WÄHLER;259;;;2021
Kraft;Volker Otto;1953;MLPD;259;4;Baden-Württemberg;2021
Kucher;Thomas;1969;dieBasis;259;16;Baden-Württemberg;2021
Greiner;Milton René Karl-Heinz;1964;BÜRGERBEWEGUNG;259;19;Baden-Württemberg;2021
Ksensow;Konstantin;1984;Die Humanisten;259;;;2021
König;Jan Peter;1996;Volt;259;6;Baden-Württemberg;2021
Mohs;Christoph Andreas;1971;BüSo;259;;;2021
Demir;Erkan;1971;EB: Demir 259; 259;;;2021
Biadacz;Marc Josef;1979;CDU;260;;;2021
Hostert;Jasmina;1982;SPD;260;9;Baden-Württemberg;2021
Bacherle;Tobias Björn;1994;GRÜNE;260;13;Baden-Württemberg;2021
Toncar;Florian;1979;FDP;260;5;Baden-Württemberg;2021
Frohnmaier;Markus-Cornel;1991;AfD;260;4;Baden-Württemberg;2021
Pitterle;Richard;1959;DIE LINKE;260;;;2021
Manojlović;Tim Kevin;1993;Die PARTEI;260;30;Baden-Württemberg;2021
Volz;Norbert Heinrich;1971;FREIE WÄHLER;260;14;Baden-Württemberg;2021
Mondry;André;1964;ÖDP;260;;;2021
Drehsen;Guido;1966;DiB;260;10;Baden-Württemberg;2021
Jäckh-Vermeulen;Johanna Bouwke;1950;MLPD;260;19;Baden-Württemberg;2021
Jones;Annabel;1980;dieBasis;260;;;2021
Seibel;Birgit;1971;Volt;260;5;Baden-Württemberg;2021
Miller;Friedhild Anni;1969;EB: Miller 260; 260;;;2021
Tolzin;Hans Ulrich Peter;1958;EB: Tolzin 260; 260;;;2021
Grübel;Markus;1959;CDU;261;;;2021
Paraschaki;Argyri;1977;SPD;261;31;Baden-Württemberg;2021
Schäfer;Sebastian;1979;GRÜNE;261;17;Baden-Württemberg;2021
Langer;Robert;1971;FDP;261;;;2021
Malewski;Boris;1978;AfD;261;;;2021
Beşli;Anil;1995;DIE LINKE;261;16;Baden-Württemberg;2021
Negt;Daniela;2003;Die PARTEI;261;;;2021
Fritz;Holger;1969;FREIE WÄHLER;261;;;2021
Bauer;Hubert;1960;MLPD;261;;;2021
Zweifel;Stefan Andreas;1960;dieBasis;261;29;Baden-Württemberg;2021
Hamberger;Wolfgang;1994;Die Humanisten;261;;;2021
Jakobi;Andreas Rudolf;1971;Volt;261;;;2021
Hennrich;Michael;1965;CDU;262;;;2021
Schmid;Nils Hermann;1973;SPD;262;2;Baden-Württemberg;2021
Gastel;Matthias;1970;GRÜNE;262;9;Baden-Württemberg;2021
Alt;Renata;1965;FDP;262;7;Baden-Württemberg;2021
Hanske;Kerstin;1970;AfD;262;;;2021
Sahin;Hüseyin;1987;DIE LINKE;262;14;Baden-Württemberg;2021
Friesch;Daniel Falk;1997;Die PARTEI;262;;;2021
Mangold;Markus Sven;1979;FREIE WÄHLER;262;;;2021
Ott;Sigrid;1961;DiB;262;5;Baden-Württemberg;2021
Rupp;Dieter Jakob;1959;MLPD;262;;;2021
Timmermann;Ilona;1976;dieBasis;262;;;2021
Färber;Hermann;1963;CDU;263;;;2021
Baehrens;Heike Charlotte;1955;SPD;263;13;Baden-Württemberg;2021
Kruse;Viktoria;1991;GRÜNE;263;22;Baden-Württemberg;2021
Olsson;Jan;1997;FDP;263;20;Baden-Württemberg;2021
Münz;Volker;1964;AfD;263;11;Baden-Württemberg;2021
Glathe-Braun;Eva-Maria;1958;DIE LINKE;263;;;2021
Treder;Christian;1993;Die PARTEI;263;;;2021
Cerrotta;Andreas;1968;FREIE WÄHLER;263;16;Baden-Württemberg;2021
Beck;Christel;1948;MLPD;263;;;2021
Siegmund;Karlheinz;1960;dieBasis;263;;;2021
Stumpp;Christina Daniela;1987;CDU;264;;;2021
Abelein;Urs Jakob;1991;SPD;264;;;2021
Kowatsch;Annedore Sophia;1988;GRÜNE;264;26;Baden-Württemberg;2021
Seiter;Stephan;1963;FDP;264;11;Baden-Württemberg;2021
Braun;Jürgen Friedrich;1961;AfD;264;10;Baden-Württemberg;2021
Pantisano;Luigi;1979;DIE LINKE;264;10;Baden-Württemberg;2021
Häfner;Friedrich;1965;Die PARTEI;264;;;2021
Hepp;Volker Walfried;1974;FREIE WÄHLER;264;17;Baden-Württemberg;2021
Dorra;Kai Steffen;1964;DiB;264;12;Baden-Württemberg;2021
Böttcher;Dieter;1952;MLPD;264;9;Baden-Württemberg;2021
Aldinger;Brigitte;1965;dieBasis;264;12;Baden-Württemberg;2021
Schorn;Anna Marie;1995;Volt;264;;;2021
Bilger;Steffen Rudi;1979;CDU;265;4;Baden-Württemberg;2021
Karaahmetoǧlu;Macit;1968;SPD;265;14;Baden-Württemberg;2021
Detzer;Sandra;1980;GRÜNE;265;5;Baden-Württemberg;2021
Martin;Oliver Wolfgang Hermann;1967;FDP;265;30;Baden-Württemberg;2021
Hess;Martin Alexander;1971;AfD;265;2;Baden-Württemberg;2021
Frisch;Andreas;1981;DIE LINKE;265;;;2021
Annunziata;Emanuele Ferdinando Michael;2001;Die PARTEI;265;;;2021
Pfaff;Martin;1970;FREIE WÄHLER;265;10;Baden-Württemberg;2021
Dornhausen;Michael Peter;1972;ÖDP;265;;;2021
Johne;Johannes Stephan Michael;1962;dieBasis;265;8;Baden-Württemberg;2021
Hollnagel;Jördis;1971;Volt;265;1;Baden-Württemberg;2021
Gibanica;David Joaquim Rastko;1998;EB: Gibanica 265; 265;;;2021
Novotny;Jakob;1992;EB: Novotny 265; 265;;;2021
Gramling;Fabian Benedikt Meinrad;1987;CDU;266;;;2021
Utz;Thomas;1989;SPD;266;26;Baden-Württemberg;2021
Schweizer;Lars Maximilian;1993;GRÜNE;266;33;Baden-Württemberg;2021
Distl;Marcel Rudolf;1992;FDP;266;24;Baden-Württemberg;2021
Jongen;Marc Stephan;1968;AfD;266;5;Baden-Württemberg;2021
Weber;Emma;1993;DIE LINKE;266;17;Baden-Württemberg;2021
Wezel;Alexander;2002;Die PARTEI;266;;;2021
Rittaler;Jan Benedykt;1959;FREIE WÄHLER;266;7;Baden-Württemberg;2021
Bogisch;Gerd Ulrich;1969;ÖDP;266;;;2021
Schaible;Wolfgang Herbert;1961;DiB;266;8;Baden-Württemberg;2021
Kerzel;Sven;1975;dieBasis;266;;;2021
Hartmann;Werner;1945;EB: Hartmann 266; 266;;;2021
Throm;Alexander Richard;1968;CDU;267;13;Baden-Württemberg;2021
Juratovic;Josip;1959;SPD;267;18;Baden-Württemberg;2021
Steidel;Isabell Charlotte;1997;GRÜNE;267;30;Baden-Württemberg;2021
Link;Michael Georg;1963;FDP;267;3;Baden-Württemberg;2021
Gminder;Franziska Ella Marianne;1945;AfD;267;;;2021
Wanner;Konrad;1956;DIE LINKE;267;;;2021
Götz;Milena;1998;Die PARTEI;267;;;2021
Basler;Uwe;1961;FREIE WÄHLER;267;;;2021
Rügner;Peter;1966;MLPD;267;20;Baden-Württemberg;2021
Piper;Dirk Helge;1965;dieBasis;267;;;2021
Schneider;Markus;1983;Die Humanisten;267;;;2021
Stetten;Christian Alexander;1970;CDU;268;;;2021
Leiser;Kevin;1993;SPD;268;20;Baden-Württemberg;2021
Ebner;Harald;1964;GRÜNE;268;7;Baden-Württemberg;2021
Abel;Valentin Christian;1991;FDP;268;12;Baden-Württemberg;2021
Moll;Jens;1983;AfD;268;;;2021
Schiele;Cedric Nils;1997;DIE LINKE;268;;;2021
Wetzel;Knud Erich;1970;Die PARTEI;268;;;2021
Braun;Jürgen Karlheinz;1955;FREIE WÄHLER;268;;;2021
Zahn;Friedrich;1952;ÖDP;268;;;2021
Maier;Karl Wilhelm;1947;MLPD;268;;;2021
Rohrbach;Marcus Helmut;1985;dieBasis;268;13;Baden-Württemberg;2021
Gräßle;Ingeborg Gabriele;1961;CDU;269;5;Baden-Württemberg;2021
Schwab;Tim-Luka;2000;SPD;269;36;Baden-Württemberg;2021
Lang;Ricarda;1994;GRÜNE;269;10;Baden-Württemberg;2021
Hamm;David-Sebastian;1977;FDP;269;32;Baden-Württemberg;2021
Wörner;Andreas Berno;1965;AfD;269;;;2021
Keles;Annette Lilly;1952;DIE LINKE;269;;;2021
Schoder;Michael;1972;Die PARTEI;269;;;2021
Regele;Gabriele Katharina;1968;FREIE WÄHLER;269;8;Baden-Württemberg;2021
Kolb;Marianne Rosina;1958;MLPD;269;16;Baden-Württemberg;2021
Schmidt;Stefan;1966;dieBasis;269;;;2021
