nachname;vorname;geburtsjahr;partei;wahlkreis;landeslistePlatz;bundesland;jahr
Schmeller;Sylvio;1976;dieBasis;15;4;Mecklenburg-Vorpommern;2021
Smyra;Friedrich;1984;PIRATEN;15;4;Mecklenburg-Vorpommern;2021
Amthor;Philipp;1992;CDU;16;1;Mecklenburg-Vorpommern;2021
Komning;Enrico;1968;AfD;16;2;Mecklenburg-Vorpommern;2021
Jaschinski;Toni;1982;DIE LINKE;16;4;Mecklenburg-Vorpommern;2021
Malottki;Erik;1986;SPD;16;3;Mecklenburg-Vorpommern;2021
Bartelt;Christian;1976;FDP;16;2;Mecklenburg-Vorpommern;2021
Horn;Katharina;1998;GRÜNE;16;2;Mecklenburg-Vorpommern;2021
Hübner;Anja;1989;Tierschutzpartei;16;4;Mecklenburg-Vorpommern;2021
Andiel;Matthias;1958;FREIE WÄHLER;16;3;Mecklenburg-Vorpommern;2021
Wodarg;Wolfgang;1947;dieBasis;16;1;Mecklenburg-Vorpommern;2021
Krüger;Sören;2001;EB: Krüger 16; 16;;;2021
Maus;Sophie;1985;UNABHÄNGIGE;16;;;2021
Bunge;Stephan;1980;CDU;17;5;Mecklenburg-Vorpommern;2021
Schielke-Ziesing;Ulrike;1969;AfD;17;3;Mecklenburg-Vorpommern;2021
Kanew;Amina Inèz;1998;DIE LINKE;17;3;Mecklenburg-Vorpommern;2021
Arlt;Johannes;1984;SPD;17;5;Mecklenburg-Vorpommern;2021
Schubert;Tobias;1987;FDP;17;8;Mecklenburg-Vorpommern;2021
Jagszent;Falk;1976;GRÜNE;17;;;2021
Gabbert;Klaus-Dieter;1959;FREIE WÄHLER;17;1;Mecklenburg-Vorpommern;2021
Goltz;Lena;1980;MLPD;17;9;Mecklenburg-Vorpommern;2021
Vries;Christoph Bernhard;1974;CDU;18;3;Hamburg;2021
Droßmann;Falko;1973;SPD;18;;;2021
Muja;Manuel;1991;GRÜNE;18;6;Hamburg;2021
Stoop;David Christopher;1983;DIE LINKE;18;;;2021
Blum;James Robert;1970;FDP;18;7;Hamburg;2021
Jordan;Nicole;1974;AfD;18;3;Hamburg;2021
Ihlenfeld;Arne Gotthard;1978;Die PARTEI;18;1;Hamburg;2021
Reimer;Ralf;1963;FREIE WÄHLER;18;5;Hamburg;2021
Bollien;Sebastian;1985;ÖDP;18;5;Hamburg;2021
Schwarzbach;Lennart Sebastian Stefan;1990;NPD;18;1;Hamburg;2021
Griesbaum;Joachim Robert Maria;1955;MLPD;18;3;Hamburg;2021
Sommer;Dennis;1985;dieBasis;18;;;2021
Janoske-Kizildag;Odin;1967;EB: Janoske-Kizildag 18; 18;;;2021
Weinberg;Marcus;1967;CDU;19;;;2021
Bartke;Matthias;1959;SPD;19;4;Hamburg;2021
Heitmann;Linda;1982;GRÜNE;19;5;Hamburg;2021
Özdemir;Cansu;1988;DIE LINKE;19;;;2021
Henrici;Fabrice;1995;FDP;19;;;2021
Baumann;Bernd;1958;AfD;19;1;Hamburg;2021
Meincke;Daniel;1991;FREIE WÄHLER;19;6;Hamburg;2021
Ahrens;Karlotta;1987;ÖDP;19;2;Hamburg;2021
Kölle;Christian Traugott;1952;MLPD;19;6;Hamburg;2021
Zens;Ulrike;1962;dieBasis;19;;;2021
Kirsch;Frieder Ulrich;1978;PIRATEN;19;3;Hamburg;2021
Bultheel;Bérangère Joséphine;1980;ÖLDP;19;;;2021
Kruse;Rüdiger;1961;CDU;20;4;Hamburg;2021
Annen;Niels;1973;SPD;20;2;Hamburg;2021
Steffen;Till Benjamin;1973;GRÜNE;20;2;Hamburg;2021
Nastić;Zaklin Jadwiga;1980;DIE LINKE;20;1;Hamburg;2021
Hümpel;Carolin Rebecca;1964;FDP;20;6;Hamburg;2021
Cremer-Thursby;Marc Frederic;1962;AfD;20;;;2021
Sommer;Martin;1972;Die PARTEI;20;;;2021
Feltz;Alexander Bruno Wilhelm;1997;FREIE WÄHLER;20;;;2021
Lincke;Hannes;1980;ÖDP;20;1;Hamburg;2021
Wagner;Uwe Ulrich;1959;MLPD;20;1;Hamburg;2021
Meyer;Inke;1981;dieBasis;20;3;Hamburg;2021
Horn;Sören Alexander;1987;Volt;20;4;Hamburg;2021
Ploß;Christoph Johannes;1985;CDU;21;1;Hamburg;2021
