wahlberechtigte;wahlkreis;jahr
182836;Uckermark – Barnim I;2021
249331;Oberhavel – Havelland II;2021
202955;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;2021
232797;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;2021
230391;Märkisch-Oderland – Barnim II;2021
171267;Cottbus – Spree-Neiße;2021
252744;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;2021
191387;Frankfurt (Oder) – Oder-Spree;2021
162410;Elbe-Elster – Oberspreewald-Lausitz II;2021
207942;Harz;2021
159998;Altmark;2021
215532;Börde – Jerichower Land;2021
229198;Magdeburg;2021
214563;Anhalt;2021
169749;Dessau – Wittenberg;2021
209765;Halle;2021
198676;Mansfeld;2021
184352;Burgenland – Saalekreis;2021
207010;Berlin-Mitte;2021
175195;Berlin-Reinickendorf;2021
233069;Berlin-Pankow;2021
179896;Berlin-Spandau – Charlottenburg Nord;2021
195586;Berlin-Charlottenburg-Wilmersdorf;2021
217506;Berlin-Steglitz-Zehlendorf;2021
231477;Berlin-Tempelhof-Schöneberg;2021
196593;Berlin-Neukölln;2021
206999;Berlin-Treptow-Köpenick;2021
218824;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;2021
198002;Berlin-Marzahn-Hellersdorf;2021
200461;Berlin-Lichtenberg;2021
176306;Aachen I;2021
192346;Heinsberg;2021
226420;Aachen II;2021
249035;Rhein-Erft-Kreis I;2021
190630;Köln I;2021
249198;Euskirchen – Rhein-Erft-Kreis II;2021
199656;Düren;2021
230215;Bonn;2021
242483;Köln II;2021
204539;Köln III;2021
238627;Rhein-Sieg-Kreis I;2021
206640;Oberbergischer Kreis;2021
209102;Leverkusen – Köln IV;2021
216063;Rhein-Sieg-Kreis II;2021
217193;Rheinisch-Bergischer Kreis;2021
202528;Wuppertal I;2021
160175;Mettmann II;2021
220204;Solingen – Remscheid – Wuppertal II;2021
203030;Mettmann I;2021
190102;Düsseldorf II;2021
213250;Neuss I;2021
185185;Mönchengladbach;2021
220827;Düsseldorf I;2021
200048;Krefeld I – Neuss II;2021
225463;Kleve;2021
206270;Wesel I;2021
227166;Viersen;2021
175852;Krefeld II – Wesel II;2021
163394;Duisburg I;2021
199156;Oberhausen – Wesel III;2021
155265;Duisburg II;2021
182895;Mülheim – Essen I;2021
156298;Essen II;2021
165193;Recklinghausen I;2021
190335;Essen III;2021
168496;Gelsenkirchen;2021
