id;vorname;nachname;geburtsjahr;partei_id;jahr
365;Hans-Christian;Schröder;1962;34;2021
366;Eckhard;Pols;1962;1;2021
367;Jakob;Blankenburg;1997;2;2021
368;Edzard Aurelius;Schmidt-Jortzig;1969;4;2021
369;Armin-Paulus;Hampel;1957;3;2021
370;Julia Maria Kornelia;Verlinden;1979;6;2021
371;Thorben;Peters;1987;5;2021
372;Meike;Hilbeck;1998;9;2021
373;Volker;Heinecke;1975;8;2021
374;Sören;Köppen;1975;28;2021
375;Fronke Christian;Gerken;1960;34;2021
376;Tristan;Großkopf;1999;56;2021
377;André;Berghegger;1972;1;2021
378;Anke;Hennig;1964;2;2021
379;Matthias;Seestern-Pauly;1984;4;2021
380;Roland;Lapinskas;1981;3;2021
381;Filiz;Polat;1978;6;2021
382;Swen;Adams;1976;5;2021
383;Josef Heinrich Nikolaus;Vagedes;1952;8;2021
384;Jürgen Wilhelm Walter Joachim;Wehlburg;1957;28;2021
385;Mathias Wolfgang Antonius;Middelberg;1964;1;2021
386;Manuel;Gava;1991;2;2021
387;Nemir;Ali;1996;4;2021
388;Florian Fritz;Meyer;1982;3;2021
389;Thomas;Klein;1955;6;2021
390;Heidi;Reichinnek;1988;5;2021
391;Joachim Fritz Anton;Bigus;1958;21;2021
392;Maria Anita;Haunhorst;1956;28;2021
393;Maik;Beermann;1981;1;2021
394;Marja-Liisa;Völlers;1984;2;2021
395;Anton Marcus Hendrikus;Born;1962;4;2021
396;Thorsten;Althaus;1969;3;2021
397;Katja;Keul;1969;6;2021
398;Lennart Jan;Dahms;2002;5;2021
399;Gabriele;Tautz;1963;10;2021
400;Sabine;Hartung;1962;8;2021
401;Rainer Kurt;Schippers;1978;28;2021
402;Heinz Josef;Weich;1951;57;2021
403;Maximilian Marius;Oppelt;1986;1;2021
404;Adis;Ahmetovic;1993;2;2021
405;Katharina Johanna;Wieking;1993;4;2021
406;Jörn Harald;König;1967;3;2021
407;Swantje Henrike;Michaelsen;1979;6;2021
408;Hans-Herbert;Ullrich;1958;5;2021
409;Jens Manuel;Bolm;1982;9;2021
410;Corinna;Günther;1965;10;2021
411;Ronald;Rüdiger;1981;8;2021
412;Reiner;Budnick;1954;12;2021
413;Iko Paul Jonny;Schneider;1967;13;2021
414;Anke;Nierstenhöfer;1974;18;2021
415;Karl-Heinz;Bader;1954;28;2021
