partei_id;wahlkreis_id;jahr;anzahl
24;9;2021;88
10;9;2021;1729
37;9;2021;2241
38;9;2021;182
40;9;2021;289
14;9;2021;111
1;10;2021;45364
2;10;2021;56422
4;10;2021;27725
6;10;2021;32475
3;10;2021;14682
5;10;2021;6325
9;10;2021;1791
8;10;2021;2204
13;10;2021;217
18;10;2021;29
28;10;2021;2237
21;10;2021;82
26;10;2021;105
24;10;2021;160
10;10;2021;2283
37;10;2021;1746
38;10;2021;829
40;10;2021;447
14;10;2021;155
1;11;2021;23628
2;11;2021;39704
4;11;2021;13626
6;11;2021;29229
3;11;2021;8827
5;11;2021;5785
9;11;2021;1329
8;11;2021;1296
13;11;2021;134
18;11;2021;71
28;11;2021;1531
21;11;2021;46
26;11;2021;106
24;11;2021;196
10;11;2021;1495
37;11;2021;1666
38;11;2021;663
40;11;2021;550
14;11;2021;122
1;12;2021;26383
3;12;2021;24185
5;12;2021;16604
2;12;2021;49271
4;12;2021;13242
6;12;2021;12419
10;12;2021;2645
9;12;2021;1252
8;12;2021;2476
18;12;2021;117
13;12;2021;151
28;12;2021;2207
21;12;2021;121
24;12;2021;175
12;12;2021;1023
38;12;2021;399
40;12;2021;381
1;13;2021;24621
3;13;2021;24673
5;13;2021;14979
2;13;2021;46846
4;13;2021;11638
6;13;2021;10147
10;13;2021;2562
9;13;2021;1019
8;13;2021;2384
18;13;2021;65
13;13;2021;195
28;13;2021;2610
21;13;2021;109
24;13;2021;157
12;13;2021;624
38;13;2021;332
40;13;2021;254
1;14;2021;23103
3;14;2021;20658
5;14;2021;21491
2;14;2021;47280
4;14;2021;14852
6;14;2021;20941
10;14;2021;3935
9;14;2021;2036
8;14;2021;1871
18;14;2021;152
13;14;2021;274
28;14;2021;3488
21;14;2021;147
24;14;2021;290
12;14;2021;854
38;14;2021;408
40;14;2021;501
1;15;2021;30910
3;15;2021;31303
5;15;2021;18857
2;15;2021;41583
4;15;2021;13776
6;15;2021;14654
10;15;2021;5169
9;15;2021;1576
8;15;2021;1975
18;15;2021;123
13;15;2021;201
28;15;2021;2904
21;15;2021;152
24;15;2021;295
12;15;2021;797
38;15;2021;392
40;15;2021;354
1;16;2021;28684
3;16;2021;35102
5;16;2021;15370
2;16;2021;40339
4;16;2021;11438
6;16;2021;6616
10;16;2021;3803
9;16;2021;1033
8;16;2021;2183
18;16;2021;89
13;16;2021;123
28;16;2021;2822
21;16;2021;140
24;16;2021;220
12;16;2021;518
38;16;2021;348
40;16;2021;204
39;16;2021;0
1;17;2021;26402
3;17;2021;29421
5;17;2021;14434
2;17;2021;42049
4;17;2021;10609
6;17;2021;7179
10;17;2021;2468
9;17;2021;984
