partei_id;wahlkreis_id;jahr;anzahl
6;298;2021;5739
1;299;2021;36472
2;299;2021;51091
5;299;2021;7312
3;299;2021;16210
4;299;2021;11015
9;299;2021;3287
8;299;2021;4418
12;299;2021;0
18;299;2021;0
28;299;2021;2086
13;299;2021;895
10;299;2021;0
38;299;2021;0
40;299;2021;0
6;299;2021;6826
1;1;2017;68120
2;1;2017;47711
6;1;2017;17911
4;1;2017;11147
5;1;2017;12144
3;1;2017;10583
11;1;2017;0
8;1;2017;1947
18;1;2017;0
244;1;2017;0
13;1;2017;0
9;1;2017;0
288;1;2017;755
10;1;2017;0
12;1;2017;0
1;2;2017;62256
2;2;2017;34685
6;2;2017;13026
4;2;2017;11105
5;2;2017;7102
3;2;2017;8117
11;2;2017;0
8;2;2017;1606
18;2;2017;0
244;2;2017;0
13;2;2017;0
9;2;2017;0
10;2;2017;0
12;2;2017;0
1;3;2017;54812
2;3;2017;34219
6;3;2017;8791
4;3;2017;14440
5;3;2017;7176
3;3;2017;10006
11;3;2017;0
8;3;2017;1278
18;3;2017;161
244;3;2017;0
13;3;2017;0
9;3;2017;0
10;3;2017;0
12;3;2017;0
1;4;2017;66625
2;4;2017;45070
6;4;2017;13978
4;4;2017;10077
5;4;2017;8074
3;4;2017;10656
11;4;2017;0
8;4;2017;1622
18;4;2017;0
244;4;2017;0
13;4;2017;0
9;4;2017;0
10;4;2017;0
12;4;2017;0
1;5;2017;46560
2;5;2017;46991
6;5;2017;21743
4;5;2017;11363
5;5;2017;11114
3;5;2017;9283
11;5;2017;0
8;5;2017;0
18;5;2017;266
244;5;2017;0
13;5;2017;0
9;5;2017;4017
10;5;2017;0
12;5;2017;0
1;6;2017;53109
2;6;2017;37728
6;6;2017;11736
4;6;2017;9379
5;6;2017;7009
3;6;2017;10223
11;6;2017;0
8;6;2017;1305
18;6;2017;0
244;6;2017;0
13;6;2017;0
9;6;2017;0
10;6;2017;0
12;6;2017;0
1;7;2017;73816
2;7;2017;56460
6;7;2017;15379
4;7;2017;14441
5;7;2017;11270
3;7;2017;14729
11;7;2017;0
8;7;2017;0
18;7;2017;0
244;7;2017;0
13;7;2017;0
9;7;2017;0
10;7;2017;0
12;7;2017;0
1;8;2017;78824
2;8;2017;52434
6;8;2017;16004
4;8;2017;15617
5;8;2017;10838
3;8;2017;15682
11;8;2017;0
8;8;2017;2373
18;8;2017;0
244;8;2017;0
13;8;2017;0
9;8;2017;0
10;8;2017;0
12;8;2017;0
1;9;2017;56996
2;9;2017;42232
6;9;2017;9539
4;9;2017;10047
5;9;2017;6062
3;9;2017;10790
11;9;2017;0
8;9;2017;1117
18;9;2017;0
244;9;2017;0
13;9;2017;0
9;9;2017;0
44;9;2017;506
10;9;2017;0
12;9;2017;0
1;10;2017;75737
2;10;2017;52171
6;10;2017;18688
4;10;2017;15775
5;10;2017;9785
3;10;2017;17435
11;10;2017;0
8;10;2017;2174
18;10;2017;0
244;10;2017;0
13;10;2017;0
9;10;2017;0
10;10;2017;0
12;10;2017;0
1;11;2017;45432
2;11;2017;43578
6;11;2017;16785
4;11;2017;8312
5;11;2017;0
3;11;2017;11137
11;11;2017;0
8;11;2017;2535
18;11;2017;954
244;11;2017;0
13;11;2017;0
9;11;2017;0
10;11;2017;0
12;11;2017;0
1;12;2017;49733
5;12;2017;26655
2;12;2017;34267
3;12;2017;24764
6;12;2017;5837
11;12;2017;1515
4;12;2017;7470
8;12;2017;3874
18;12;2017;440
244;12;2017;0
13;12;2017;0
9;12;2017;0
10;12;2017;0
337;12;2017;547
12;12;2017;0
1;13;2017;43453
5;13;2017;23433
2;13;2017;34705
3;13;2017;25262
6;13;2017;5858
11;13;2017;1264
4;13;2017;8290
8;13;2017;2573
18;13;2017;0
244;13;2017;0
13;13;2017;0
9;13;2017;0
10;13;2017;0
12;13;2017;0
1;14;2017;47923
5;14;2017;40202
2;14;2017;29056
3;14;2017;23785
6;14;2017;8333
11;14;2017;0
4;14;2017;7368
8;14;2017;1453
18;14;2017;396
244;14;2017;0
13;14;2017;591
9;14;2017;3132
10;14;2017;0
12;14;2017;0
1;15;2017;73746
5;15;2017;26650
2;15;2017;19515
3;15;2017;32173
6;15;2017;5081
11;15;2017;976
4;15;2017;5229
8;15;2017;1576
18;15;2017;407
244;15;2017;0
13;15;2017;0
9;15;2017;0
10;15;2017;2161
338;15;2017;148
12;15;2017;0
1;16;2017;48269
5;16;2017;29462
2;16;2017;21493
3;16;2017;36273
6;16;2017;3898
11;16;2017;2834
4;16;2017;8909
8;16;2017;1991
18;16;2017;0
244;16;2017;0
13;16;2017;0
9;16;2017;1499
10;16;2017;0
12;16;2017;0
1;17;2017;53538
5;17;2017;24728
2;17;2017;22401
3;17;2017;26199
6;17;2017;4739
11;17;2017;1388
4;17;2017;6633
8;17;2017;2327
18;17;2017;423
244;17;2017;0
13;17;2017;0
9;17;2017;0
10;17;2017;0
12;17;2017;0
2;18;2017;53795
1;18;2017;42149
6;18;2017;22368
5;18;2017;24083
4;18;2017;11202
3;18;2017;12728
