vorname;nachname;geburtsjahr;Partei;wahlkreis_id;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Michel;Barimis;1987;MLPD;-1;Bayern;8;;;;;2017
Katarina;Dr. Barley;1968;SPD;203;Rheinland-Pfalz;3;;;;;2017
Doris;Barnett;1953;SPD;207;Rheinland-Pfalz;5;;;;;2017
Daniel;Baron;1983;FREIE WÄHLER;171;Hessen;18;;;;;2017
Eva;Baron;1983;CDU;-1;Baden-Württemberg;55;;;;;2017
Simone;Barrientos Krauss;1963;DIE LINKE;251;Bayern;5;;;;;2017
Daniel;Barski;1982;EB: Barski;281;-1;-1;;;;;2017
Alrich Jann;Bartels;1966;FREIE WÄHLER;24;Niedersachsen;9;;;;;2017
Christian;Bartelt;1976;FDP;16;Mecklenburg-Vorpommern;2;;;;;2017
Kevin;Barth;1990;SPD;-1;Niedersachsen;65;;;;;2017
Norbert;Barthle;1952;CDU;269;-1;-1;;;;;2017
Anna;Bartholomé;1949;MLPD;-1;Rheinland-Pfalz;3;;;;;2017
Matthias;Dr. Bartke;1959;SPD;19;Hamburg;6;;;;;2017
Sören;Bartol;1974;SPD;171;Hessen;5;;;;;2017
Olaf;Barton;1973;EB: Barton;130;-1;-1;;;;;2017
Dietmar Gerhard;Dr. Bartsch;1958;DIE LINKE;14;Mecklenburg-Vorpommern;1;;;;;2017
Simon;Bartsch;1995;Die PARTEI;-1;Berlin;39;;;;;2017
Bernhard;Barutta;1961;FREIE WÄHLER;274;-1;-1;;;;;2017
Monika;Barz;1953;GRÜNE;-1;Baden-Württemberg;37;;;;;2017
Bärbel;Bas;1968;SPD;115;Nordrhein-Westfalen;32;;;;;2017
Gerd;Baßfeld;1947;DIE LINKE;113;-1;-1;;;;;2017
Endrik;Bastian;1964;SGP;152;Berlin;2;;;;;2017
Heiner;Bäther;1969;DIE LINKE;110;Nordrhein-Westfalen;18;;;;;2017
David Karol;Bauch;1986;V-Partei³;-1;Sachsen;5;;;;;2017
Emil Karl Eckehard;Bauer;1953;MLPD;252;Bayern;1;;;;;2017
Nicole;Bauer;1987;FDP;228;Bayern;11;;;;;2017
Susanne Iris;Bauer;1977;GRÜNE;237;Bayern;26;;;;;2017
Anna;Bauer;1989;Die PARTEI;-1;Berlin;13;;;;;2017
Sven;Bauer;1969;DiB;-1;Sachsen;3;;;;;2017
Ursula;Bauer;1957;BGE;-1;Baden-Württemberg;1;;;;;2017
Robert;Bauer;1985;CDU;-1;Mecklenburg-Vorpommern;10;;;;;2017
Oksana;Bauer;1970;DIE EINHEIT;206;-1;-1;;;;;2017
Armin;Bauer;1972;AfD;233;-1;-1;;;;;2017
Konrad Hubert;Baueregger;1957;BP;225;-1;-1;;;;;2017
Joachim;Bauerle;1956;MLPD;262;Baden-Württemberg;14;;;;;2017
Peter;Bäuerle;1951;MLPD;-1;Baden-Württemberg;26;;;;;2017
Anne-Kathrin Hannah;Baum;1981;DiB;-1;Hamburg;5;;;;;2017
Christina;Dr. Baum;1956;AfD;276;-1;-1;;;;;2017
Bernd;Dr. Baumann;1958;AfD;19;Hamburg;1;;;;;2017
Horst Michael-Thorsten;Baumann;1969;FREIE WÄHLER;-1;Niedersachsen;10;;;;;2017
Petra;Baumann;1961;GRÜNE;-1;Hessen;21;;;;;2017
Heino;Baumgarten;1959;SPD;-1;Niedersachsen;37;;;;;2017
Roman;Baumgartner;1982;CDU;-1;Baden-Württemberg;19;;;;;2017
Carsten;Baums;1968;PIRATEN;-1;Hessen;25;;;;;2017
Dieter;Baur;1953;ÖDP;258;Baden-Württemberg;7;;;;;2017
Jens;Baur;1979;NPD;160;Sachsen;1;;;;;2017
Mathias Eduard Josef;Baur;1990;FDP;231;Bayern;28;;;;;2017
Alexandra;Baur;1972;CDU;-1;Baden-Württemberg;51;;;;;2017
Patrick;Bausch;1996;DIE LINKE;286;-1;-1;;;;;2017
Margarete;Bause;1959;GRÜNE;218;Bayern;9;;;;;2017
Thomas;Bauske;1972;SPD;240;Bayern;38;;;;;2017
Danyal;Dr. Bayaz;1983;GRÜNE;278;Baden-Württemberg;12;;;;;2017
Oliver;Bayer;1977;PIRATEN;-1;Nordrhein-Westfalen;10;;;;;2017
Bernhard;Bayer;1963;DM;-1;Bayern;7;;;;;2017
Markus Artur Ernst;Bayerbach;1963;AfD;252;-1;-1;;;;;2017
Canan;Bayram;1966;GRÜNE;83;-1;-1;;;;;2017
Josef Wolfgang;Dr. Bayrle;1946;BP;-1;Bayern;8;;;;;2017
Oliver Roland Wilhelm;Bechtoldt;1968;Die PARTEI;-1;Hessen;17;;;;;2017
Sabine;von der Beck;1963;GRÜNE;141;Nordrhein-Westfalen;36;;;;;2017
Tobias;Beck;1987;FREIE WÄHLER;231;Bayern;19;;;;;2017
Ursula;Beck;1954;DIE LINKE;-1;Baden-Württemberg;15;;;;;2017
Stefanie Annegret;Beck;1985;V-Partei³;-1;Niedersachsen;5;;;;;2017
Christel;Beck;1948;MLPD;263;-1;-1;;;;;2017
Harald;Becker;1964;Tierschutzallianz;285;Baden-Württemberg;2;;;;;2017
Heiko;Becker;1983;SPD;148;Nordrhein-Westfalen;25;;;;;2017
Tobias;Becker;1990;Die PARTEI;-1;Baden-Württemberg;17;;;;;2017
Karin;Becker;1966;V-Partei³;-1;Nordrhein-Westfalen;19;;;;;2017
Vera;Becker;1985;DiB;-1;Nordrhein-Westfalen;6;;;;;2017
Werner;Becker;1943;DKP;60;-1;-1;;;;;2017
Bert;Beckmann;1958;MLPD;12;Mecklenburg-Vorpommern;7;;;;;2017
Markus;Beckmann;1988;EB: Beckmann;83;-1;-1;;;;;2017
Heike;Beckord;1963;SPD;-1;Niedersachsen;64;;;;;2017
Christopher;Bedel;1993;Die PARTEI;-1;Hessen;19;;;;;2017
