vorname;nachname;geburtsjahr;Partei;wahlkreis_id;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Taras;Maygutiak;1973;AfD;284;-1;-1;;;;;2017
Angela;Mayr;1968;FREIE WÄHLER;216;Bayern;43;;;;;2017
Tobias;McFadden;1974;PIRATEN;224;-1;-1;;;;;2017
Gernot;Mebus;1960;MLPD;-1;Rheinland-Pfalz;6;;;;;2017
Ina;Mecke;1986;Die PARTEI;290;-1;-1;;;;;2017
Marvin Mel;Medau;1989;Tierschutzpartei;-1;Mecklenburg-Vorpommern;4;;;;;2017
Frank;Mederlet;1959;SPD;-1;Nordrhein-Westfalen;69;;;;;2017
Hildegard;Meffert;1958;BüSo;-1;Berlin;10;;;;;2017
Andreas;Mehltretter;1991;SPD;214;Bayern;40;;;;;2017
Lutz;Mehrtens;1975;FREIE WÄHLER;29;-1;-1;;;;;2017
Lothar Konrad;Meidl;1960;DM;-1;Bayern;9;;;;;2017
Roland;Meier;1964;DIE LINKE;216;Bayern;20;;;;;2017
Marco;Meier;1993;FREIE WÄHLER;241;Bayern;6;;;;;2017
Karl;Meier;1955;FREIE WÄHLER;235;Bayern;17;;;;;2017
Ronny;Meier;1977;BGE;-1;Sachsen-Anhalt;6;;;;;2017
Stephan;Meier;1991;CSU;-1;Bayern;44;;;;;2017
Reiner;Meier;1953;CSU;-1;Bayern;30;;;;;2017
Ronny;Meier;1978;EB: Meier;63;-1;-1;;;;;2017
Jonathan;Meier;1994;EB: Meier;146;-1;-1;;;;;2017
Ute;Meiers;1963;SPD;92;Nordrhein-Westfalen;26;;;;;2017
Daniel;Meincke;1991;FREIE WÄHLER;19;-1;-1;;;;;2017
Klaus;Meinel;1949;DKP;-1;Berlin;9;;;;;2017
Antje;Meinen;1965;V-Partei³;-1;Bayern;15;;;;;2017
Danny;Meiners;1979;AfD;31;Niedersachsen;24;;;;;2017
Stefan;Meiners;1977;GRÜNE;113;-1;-1;;;;;2017
August Albert;Meinhardt;1961;BGE;-1;Nordrhein-Westfalen;19;;;;;2017
Patrick;Meinhardt;1966;FDP;15;-1;-1;;;;;2017
Alexander;Meinhardt-Heib;1971;SPD;195;Thüringen;9;;;;;2017
Dennis;Meisberger;1988;CDU;-1;Saarland;13;;;;;2017
Ariane;Meise;1960;NPD;-1;Nordrhein-Westfalen;1;;;;;2017
Moritz Jonathan;Meisel;1988;BGE;-1;Bayern;5;;;;;2017
Pascal;Meiser;1975;DIE LINKE;83;Berlin;4;;;;;2017
Margit;Meiser-Lill;1967;V-Partei³;-1;Baden-Württemberg;11;;;;;2017
Georg;Dr. Meiski;1963;FREIE WÄHLER;227;Bayern;9;;;;;2017
Wilfried Kurt Albin;Meißner;1957;EB: Meißner;195;-1;-1;;;;;2017
Hannes Ernst Georg;Meist;1965;DKP;-1;Bayern;7;;;;;2017
Michael Günther;Dr. Meister;1961;CDU;188;Hessen;2;;;;;2017
Roland Matthäus;Meister;1953;MLPD;-1;Nordrhein-Westfalen;16;;;;;2017
Michael;Meister;1963;AfD;-1;Bayern;30;;;;;2017
Peter;Meiwald;1966;GRÜNE;27;Niedersachsen;8;;;;;2017
Stefan André;Mekiffer;1988;BGE;-1;Berlin;6;;;;;2017
Klaus;Mellin;1952;Volksabstimmung;-1;Nordrhein-Westfalen;13;;;;;2017
Nadije;Memedi;1982;DIE LINKE;29;-1;-1;;;;;2017
Dirk-Ulrich August Heinrich;Mende;1957;SPD;-1;Niedersachsen;31;;;;;2017
Peter;Mendelsohn;1972;Die PARTEI;-1;Baden-Württemberg;1;;;;;2017
Gabriele;Mendorf;1954;V-Partei³;-1;Niedersachsen;13;;;;;2017
Alexander;Dr. Mendorf;1984;V-Partei³;-1;Niedersachsen;14;;;;;2017
Victoria;Meneses;1987;BGE;-1;Berlin;1;;;;;2017
Monique;Meneses;1984;BGE;-1;Sachsen;1;;;;;2017
Serge;Menga Nsibu;1977;EB: Menga Nsibu;120;-1;-1;;;;;2017
Volker;Menge;1962;PIRATEN;-1;Bremen;3;;;;;2017
Birgit;Menz;1962;DIE LINKE;-1;Bremen;2;;;;;2017
Mehmet Ali;Meral;1988;MLPD;-1;Hessen;6;;;;;2017
Claas;Merfort;1984;CDU;-1;Niedersachsen;42;;;;;2017
Franz Xaver;Merk;1953;DIE LINKE;256;-1;-1;;;;;2017
Angela Dorothea;Dr. Merkel;1954;CDU;15;Mecklenburg-Vorpommern;1;;;;;2017
Gregor;Merkel;1981;FDP;-1;Rheinland-Pfalz;18;;;;;2017
Christoph Tarek;Merkel;1987;AfD;25;-1;-1;;;;;2017
Sebastian;Merkens;1980;DIE LINKE;109;-1;-1;;;;;2017
Isabelle;Merker;1988;SPD;-1;Rheinland-Pfalz;22;;;;;2017
Marcel;Merle;1984;BGE;-1;Berlin;4;;;;;2017
Robert;Dr. Mertel;1940;EB: Mertel;220;-1;-1;;;;;2017
Reinhold;Merten;1957;FREIE WÄHLER;-1;Rheinland-Pfalz;19;;;;;2017
Ansgar Wilhelm;Mertens;1977;CDU;-1;Nordrhein-Westfalen;79;;;;;2017
Rosarina Ruthilde;Mertes;1965;SPD;-1;Saarland;12;;;;;2017
Benjamin;Mertsch;1989;NPD;-1;Brandenburg;4;;;;;2017
Eduard;Meßmer;1956;FREIE WÄHLER;273;-1;-1;;;;;2017
Dirk Udo;Methfessel;1982;DIE LINKE;175;Hessen;10;;;;;2017
Martin;Metz;1983;GRÜNE;98;Nordrhein-Westfalen;16;;;;;2017
Jan;Metzler;1981;CDU;206;Rheinland-Pfalz;6;;;;;2017
Günter Eitel Walter;Metzler;1944;EB: Metzler;195;-1;-1;;;;;2017
Dennis;Metzulat;1981;DiB;-1;Baden-Württemberg;12;;;;;2017
Dignanllely;Meurer;1990;GRÜNE;-1;Nordrhein-Westfalen;25;;;;;2017
André;Mevius;1968;Die PARTEI;-1;Schleswig-Holstein;5;;;;;2017
Inga;Mewes;1978;DiB;-1;Hamburg;4;;;;;2017
Christoph;Meyer;1975;FDP;80;Berlin;1;;;;;2017
Barbara;Meyer;1978;MLPD;-1;Hessen;4;;;;;2017
Sabine;Meyer;1961;CDU;-1;Niedersachsen;43;;;;;2017
Marek;Meyer;1994;SPD;-1;Niedersachsen;63;;;;;2017
Maria;Meyer;1954;MLPD;-1;Schleswig-Holstein;1;;;;;2017
Juliane;Meyer;1986;SPD;-1;Brandenburg;19;;;;;2017
Jens Gerd;Meyer;1957;SPD;-1;Schleswig-Holstein;17;;;;;2017
Sylvia;Meyer;1963;GRÜNE;102;-1;-1;;;;;2017
Leona;Meyer-Kasai;1987;BüSo;82;Berlin;6;;;;;2017
Shahabuddin;Miah;1956;GRÜNE;146;Nordrhein-Westfalen;33;;;;;2017
Corinna;Miazga;1983;AfD;-1;Bayern;3;;;;;2017
Axel Reinhard;Michaelis;1965;NPD;-1;Bayern;3;;;;;2017
Swantje;Michaelsen;1979;GRÜNE;41;Niedersachsen;13;;;;;2017
Ute Martha;Michel;1969;GRÜNE;46;Niedersachsen;21;;;;;2017
Hans Georg;Dr. h. c. Michelbach;1949;CSU;238;Bayern;15;;;;;2017
Grit;Michelmann;1983;GRÜNE;72;Sachsen-Anhalt;3;;;;;2017
Matthäus Josef;Michlbauer;1966;BüSo;-1;Bayern;10;;;;;2017
Stefan;Michler;1977;BGE;-1;Berlin;11;;;;;2017
Jens-Peter;Mickmann;1976;FDP;-1;Bremen;6;;;;;2017
Mathias;Dr. Middelberg;1964;CDU;39;Niedersachsen;5;;;;;2017
Eckhard;Miehlke;1943;EB: Miehlke;192;-1;-1;;;;;2017
Matthias;Dr. Miersch;1968;SPD;47;Niedersachsen;3;;;;;2017
Mario;Mieruch;1975;AfD;124;Nordrhein-Westfalen;12;;;;;2017
Natalia Janette;Miesner;1996;NPD;-1;Niedersachsen;10;;;;;2017
Irene;Mihalic;1976;GRÜNE;123;Nordrhein-Westfalen;5;;;;;2017
Boris;Mijatovic;1974;GRÜNE;168;Hessen;6;;;;;2017
Eva;Milisenda;1977;SPD;-1;Rheinland-Pfalz;32;;;;;2017
Marvin;Millen;1994;DIE LINKE;-1;Nordrhein-Westfalen;20;;;;;2017
Friedhild Anni;Miller;1969;EB: Miller;260;-1;-1;;;;;2017
Klaus;Mindrup;1964;SPD;76;Berlin;4;;;;;2017
Helmut Anton;Minkus;1952;MLPD;-1;Bremen;5;;;;;2017
Heiko Fred Max;Miraß;1967;SPD;16;Mecklenburg-Vorpommern;4;;;;;2017
Antonietta;Miro;1995;Die PARTEI;82;Berlin;73;;;;;2017
Sahra;Mirow;1984;DIE LINKE;274;Baden-Württemberg;9;;;;;2017
Thomas;Misch;1957;FREIE WÄHLER;-1;Schleswig-Holstein;5;;;;;2017
Lucie;Misini;1979;DIE LINKE;100;-1;-1;;;;;2017
Sebastian;Misselhorn;1997;DIE LINKE;222;Bayern;16;;;;;2017
Karsten;Mithöfer;1976;V-Partei³;-1;Niedersachsen;6;;;;;2017
Susanne;Mittag;1958;SPD;28;Niedersachsen;2;;;;;2017
Stefan;Mix;1963;SPD;-1;Nordrhein-Westfalen;78;;;;;2017
Gabriele;Möbius;1968;Tierschutzpartei;-1;Bayern;6;;;;;2017
Bernd;Möbius;1959;GRÜNE;7;-1;-1;;;;;2017
Michael;Möckel;1979;CDU;-1;Brandenburg;11;;;;;2017
Kerstin;Mock-Hofeditz;1966;GRÜNE;-1;Schleswig-Holstein;11;;;;;2017
Amira;Mohamed Ali;1980;DIE LINKE;27;Niedersachsen;5;;;;;2017
Markus;Mohr;1984;AfD;87;-1;-1;;;;;2017
Carsten;Mohrhardt;1975;CDU;-1;Baden-Württemberg;47;;;;;2017
Cornelia;Möhring;1960;DIE LINKE;7;Schleswig-Holstein;1;;;;;2017
Maximilian;Möhring;1991;PIRATEN;88;-1;-1;;;;;2017
Lutz;Möhrmann;1963;BGE;-1;Baden-Württemberg;17;;;;;2017
Falko;Mohrs;1984;SPD;51;Niedersachsen;19;;;;;2017
Ingeborg;Mohr-Simeonidis;1950;DIE LINKE;149;Nordrhein-Westfalen;17;;;;;2017
Hubertus;Mohs;1939;BüSo;258;-1;-1;;;;;2017
Christoph;Mohs;1971;BüSo;259;-1;-1;;;;;2017
Martin;Mölders;1958;FDP;192;Thüringen;6;;;;;2017
Claudia;Moll;1968;SPD;88;Nordrhein-Westfalen;38;;;;;2017
Herbert;Dr. Moll;1954;FDP;-1;Saarland;7;;;;;2017
Volker;Möll;1964;GRÜNE;51;-1;-1;;;;;2017
Lüder;Möller;1949;MLPD;11;Schleswig-Holstein;5;;;;;2017
Siemtje;Möller;1983;SPD;26;Niedersachsen;18;;;;;2017
Wilko;Möller;1966;AfD;-1;Brandenburg;11;;;;;2017
Michael;Möller;1974;ÖDP;-1;Schleswig-Holstein;4;;;;;2017
Felix;Möller;1986;GRÜNE;179;-1;-1;;;;;2017
Antje;Möller-Neustock;1961;SPD;-1;Schleswig-Holstein;16;;;;;2017
Jürgen;Mollik;1951;EB: Mollik;144;-1;-1;;;;;2017
Martin;Molter;1975;Die PARTEI;-1;Mecklenburg-Vorpommern;2;;;;;2017
Dietrich;Monstadt;1957;CDU;12;Mecklenburg-Vorpommern;3;;;;;2017
Robert Oliver Florian Walter Josef Mohamed;Monz;1985;Die PARTEI;-1;Bayern;15;;;;;2017
Jochen Wilhelm;Moors;1978;Tierschutzpartei;-1;Nordrhein-Westfalen;2;;;;;2017
Marion;Morassi;1963;DIE LINKE;198;-1;-1;;;;;2017
Jana Esther;Morawetz;1965;Gesundheitsforschung;-1;Nordrhein-Westfalen;4;;;;;2017
Tobias;Morawski;1984;Die PARTEI;-1;Berlin;61;;;;;2017
Uwe;Mordhorst;1958;BGE;-1;Thüringen;6;;;;;2017
Jan Boris;Morgenroth;1975;NPD;-1;Thüringen;6;;;;;2017
Meik;Morgenstern;1985;DM;-1;Niedersachsen;1;;;;;2017
Karsten;Möring;1949;CDU;93;Nordrhein-Westfalen;42;;;;;2017
Karina;Moritz;1980;CDU;-1;Hessen;37;;;;;2017
Ingo;Mörl;1967;PIRATEN;-1;Baden-Württemberg;4;;;;;2017
Enrico;Morro Costa;1986;V-Partei³;-1;Baden-Württemberg;8;;;;;2017
Maximilian;Mörseburg;1992;CDU;-1;Baden-Württemberg;42;;;;;2017
Marlene;Mortler;1955;CSU;246;Bayern;9;;;;;2017
Volker;Mosblech;1955;CDU;116;Nordrhein-Westfalen;52;;;;;2017
Alexander;Mosca Spatz;1994;SPD;247;Bayern;42;;;;;2017
Markus Georg;Moschner;1973;FREIE WÄHLER;43;-1;-1;;;;;2017
Tanita Christin;Mosel;1996;V-Partei³;-1;Bayern;17;;;;;2017
Christa;Moseler;1960;ÖDP;-1;Rheinland-Pfalz;8;;;;;2017
Moritz;Moser;1997;SPD;-1;Saarland;15;;;;;2017
Ingeborg;Moser;1961;DM;-1;Baden-Württemberg;9;;;;;2017
Anneliese;Moser;1958;FDP;-1;Rheinland-Pfalz;24;;;;;2017
David Daniel;Moshammer;1988;V-Partei³;-1;Bayern;10;;;;;2017
Guido Mario;Mosler;1967;BGE;-1;Nordrhein-Westfalen;8;;;;;2017
Thomas;Mosmann;1972;Tierschutzallianz;-1;Baden-Württemberg;1;;;;;2017
Leona;Moss;1963;DM;-1;Berlin;8;;;;;2017
Karin;van der Most;1963;FDP;103;Nordrhein-Westfalen;44;;;;;2017
Käty;Mothes;1993;DIE LINKE;-1;Sachsen;11;;;;;2017
Elisabeth Charlotte;Motschmann;1952;CDU;54;Bremen;1;;;;;2017
Niema;Movassat;1984;DIE LINKE;117;Nordrhein-Westfalen;6;;;;;2017
Nzimbu;Mpanu-Mpanu-Plato;1964;CDU;-1;Baden-Württemberg;40;;;;;2017
Andreas;Mrosek;1958;AfD;70;Sachsen-Anhalt;4;;;;;2017
Dirk;Mrotzeck;1966;FDP;295;Baden-Württemberg;24;;;;;2017
Alexander Hermann;Mueller;1963;Die Humanisten;-1;Nordrhein-Westfalen;7;;;;;2017
Siegfried;Mühlenweg;1950;FDP;133;Nordrhein-Westfalen;51;;;;;2017
Alexander;Mühlmann;1971;Die PARTEI;209;Rheinland-Pfalz;3;;;;;2017
Maurice Benjamin;Müller;1983;GRÜNE;55;Bremen;2;;;;;2017
Alexander;Müller;1969;FDP;178;Hessen;6;;;;;2017
Sascha;Müller;1970;GRÜNE;245;Bayern;16;;;;;2017
Claudia;Müller;1981;GRÜNE;15;Mecklenburg-Vorpommern;1;;;;;2017
Hansjörg Gerhard Georg;Müller;1968;AfD;225;Bayern;6;;;;;2017
Moritz Alexander;Müller;1992;GRÜNE;188;Hessen;10;;;;;2017
Sascha;Müller;1986;FREIE WÄHLER;197;Rheinland-Pfalz;5;;;;;2017
Thomas;Müller;1954;ÖDP;240;Bayern;3;;;;;2017
Wilhelm Dieter;Müller;1955;AfD;296;Saarland;2;;;;;2017
Gerhard (Gerd);Dr. Müller;1955;CSU;256;Bayern;5;;;;;2017
Norbert;Müller;1986;DIE LINKE;61;Brandenburg;4;;;;;2017
Stefan;Müller;1975;CSU;242;Bayern;11;;;;;2017
Sepp;Müller;1989;CDU;70;Sachsen-Anhalt;6;;;;;2017
Detlef;Müller;1964;SPD;162;Sachsen;4;;;;;2017
Bettina;Müller;1959;SPD;175;Hessen;8;;;;;2017
Carsten;Müller;1970;CDU;50;Niedersachsen;8;;;;;2017
Matthias;Müller;1981;Die PARTEI;-1;Berlin;28;;;;;2017
Elke;Müller;1971;CDU;-1;Nordrhein-Westfalen;63;;;;;2017
Lisa;Müller;1994;Tierschutzpartei;-1;Sachsen;2;;;;;2017
Joachim Stefan;Müller;1973;PIRATEN;-1;Hessen;13;;;;;2017
Clemens Carl;Müller;1993;Die PARTEI;-1;Sachsen;7;;;;;2017
Eckhard;Müller;1954;V-Partei³;-1;Nordrhein-Westfalen;20;;;;;2017
Ella;Müller;1986;GRÜNE;-1;Baden-Württemberg;35;;;;;2017
Kai;Dr. Müller;1974;CDU;-1;Rheinland-Pfalz;35;;;;;2017
Karolin;Müller;1987;SPD;-1;Brandenburg;11;;;;;2017
Antonia;Müller;1995;SPD;-1;Brandenburg;17;;;;;2017
Klaus;Müller;1952;Volksabstimmung;-1;Nordrhein-Westfalen;14;;;;;2017
Felix;Müller;1975;BGE;-1;Baden-Württemberg;18;;;;;2017
Regina;Müller;1962;Volksabstimmung;-1;Nordrhein-Westfalen;8;;;;;2017
Dunja;Müller;1979;Volksabstimmung;-1;Nordrhein-Westfalen;9;;;;;2017
Johannes;Dr. Müller;1969;NPD;-1;Sachsen;5;;;;;2017
Johannes Alexander;Müller;1992;GRÜNE;-1;Hamburg;4;;;;;2017
Bernd;Müller;1978;DKP;-1;Brandenburg;3;;;;;2017
Timo;Müller;1991;GRÜNE;178;-1;-1;;;;;2017
Brigitte;Müller;1941;DKP;58;-1;-1;;;;;2017
Andreas Werner;Müller;1992;Die PARTEI;199;-1;-1;;;;;2017
Peter;Müller;1961;AfD;114;-1;-1;;;;;2017
Olaf;Müller;1963;GRÜNE;191;-1;-1;;;;;2017
Edmund;Müller;1969;EB: Müller;61;-1;-1;;;;;2017
Axel;Müller;1963;CDU;294;-1;-1;;;;;2017
Alexander;Müller;1979;BP;219;-1;-1;;;;;2017
Roman;Müller-Böhm;1992;FDP;117;Nordrhein-Westfalen;18;;;;;2017
Beate;Müller-Gemmeke;1960;GRÜNE;289;Baden-Württemberg;7;;;;;2017
Kai Michael;Müller-Horn;1944;EB: Müller-Horn;109;-1;-1;;;;;2017
Frank;Müller-Rosentritt;1982;FDP;162;Sachsen;3;;;;;2017
Henning;Müller-Späth;1954;FREIE WÄHLER;143;-1;-1;;;;;2017
Lorena;Müllner;1998;DIE LINKE;280;-1;-1;;;;;2017
Joachim;Multermann;1969;AfD;130;-1;-1;;;;;2017
Manuel;Mültin;1986;DIE RECHTE;-1;Baden-Württemberg;1;;;;;2017
Oliver Markus;Multusch;1968;AfD;212;-1;-1;;;;;2017
Monika;Münch-Steinbuch;1948;DKP;-1;Baden-Württemberg;3;;;;;2017
Raimund Michael;Münder;1952;DKP;-1;Bayern;1;;;;;2017
Lothar;Dr. Mundt;1940;AfD;81;-1;-1;;;;;2017
Alexandra Helga;Munir-Muuß;1969;V-Partei³;-1;Hessen;2;;;;;2017
Michelle;Müntefering;1980;SPD;141;Nordrhein-Westfalen;30;;;;;2017
Volker;Münz;1964;AfD;263;Baden-Württemberg;8;;;;;2017
Sebastian;Münzenmaier;1989;AfD;205;Rheinland-Pfalz;1;;;;;2017
David;Münzing;1977;PIRATEN;-1;Baden-Württemberg;9;;;;;2017
Mohammed;Musah;1982;MLPD;-1;Mecklenburg-Vorpommern;4;;;;;2017
Michael;Musil;1947;GRÜNE;204;-1;-1;;;;;2017
Martin;Muth;1989;Die PARTEI;-1;Sachsen;12;;;;;2017
Özcan;Mutlu;1968;GRÜNE;75;Berlin;4;;;;;2017
Rolf;Dr. Mützenich;1959;SPD;95;Nordrhein-Westfalen;60;;;;;2017
Agnieszka Monika;Mzyk;1976;DM;-1;Bayern;4;;;;;2017
Andrea;Nahles;1970;SPD;198;Rheinland-Pfalz;1;;;;;2017
Ralf;Nahlob;1981;AfD;-1;Sachsen;20;;;;;2017
Doreen;Nahouli;1969;DM;-1;Berlin;6;;;;;2017
Janina Daniela;Nährig;1980;V-Partei³;-1;Hamburg;7;;;;;2017
Christian;Nan;1959;DM;-1;Baden-Württemberg;14;;;;;2017
Stephanie;Napp;1986;Die PARTEI;-1;Mecklenburg-Vorpommern;5;;;;;2017
Dirk;Nasdala;1966;FREIE WÄHLER;-1;Sachsen;4;;;;;2017
Michael;Nass;1963;SPD;-1;Hessen;35;;;;;2017
Zaklin;Nastic;1980;DIE LINKE;20;Hamburg;2;;;;;2017
Stefan;Natke;1958;DKP;-1;Berlin;1;;;;;2017
Christian;Natterer;1981;CDU;-1;Baden-Württemberg;9;;;;;2017
Felix;Naumann;1990;BGE;-1;Nordrhein-Westfalen;2;;;;;2017
Lisa-Marie;Naumann;1995;Tierschutzpartei;-1;Bayern;13;;;;;2017
Hermann;Navel;1948;AfD;89;-1;-1;;;;;2017
Albina;Nazarenus-Vetter;1974;CDU;-1;Hessen;23;;;;;2017
Nadi Habib;Neama;1993;Gesundheitsforschung;-1;Nordrhein-Westfalen;5;;;;;2017
Arjuna;Nebel;1983;DiB;-1;Nordrhein-Westfalen;5;;;;;2017
Astrid Verena;Nedden;1967;BGE;-1;Nordrhein-Westfalen;1;;;;;2017
Jonny;Nedog;1954;AfD;180;-1;-1;;;;;2017
Michael;Nehls;1961;AfD;56;Brandenburg;12;;;;;2017
Stefanie;Nejedlo;1981;CSU;-1;Bayern;49;;;;;2017
Jürgen Emil;Nelson;1960;SPD;-1;Rheinland-Pfalz;34;;;;;2017
Sarah;Nerb;1982;SPD;-1;Bayern;49;;;;;2017
Ingrid;Nestle;1977;GRÜNE;3;Schleswig-Holstein;3;;;;;2017
Olaf;Netzel;1979;Tierschutzpartei;-1;Brandenburg;3;;;;;2017
Alexander;Dr. Neu;1969;DIE LINKE;97;Nordrhein-Westfalen;10;;;;;2017
Gerhard;Neuberger;1978;Die PARTEI;-1;Baden-Württemberg;11;;;;;2017
Jens Henry;Neubert;1965;FDP;49;Niedersachsen;28;;;;;2017
Frank;Neubert;1970;NPD;-1;Thüringen;10;;;;;2017
Falk;Neubert;1974;DIE LINKE;161;-1;-1;;;;;2017
Gunther;Neubert;1958;PIRATEN;90;-1;-1;;;;;2017
Thomas;Neudert;1975;FDP;214;Bayern;45;;;;;2017
Reinhard;Neudorfer;1946;DIE LINKE;264;-1;-1;;;;;2017
Dieter;Dr. Neuendorf;1953;AfD;77;-1;-1;;;;;2017
Anna;Neuhof;1952;GRÜNE;197;Rheinland-Pfalz;13;;;;;2017
Torsten;Neuhoff;1969;CDU;-1;Bremen;3;;;;;2017
Martin;Prof. Dr. Neumann;1956;FDP;65;Brandenburg;2;;;;;2017
Hannah;Dr. Neumann;1984;GRÜNE;86;Berlin;7;;;;;2017
Christoph;Neumann;1964;AfD;152;Sachsen;11;;;;;2017
Andrea;Neumann;1967;DIE LINKE;-1;Saarland;2;;;;;2017
Matthias Thomas;Neumann;1959;BGE;-1;Brandenburg;1;;;;;2017
Eveline Juliana;Neumann;1949;SPD;-1;Brandenburg;29;;;;;2017
Sebastian Jerry;Neumann;1991;DIE LINKE;134;-1;-1;;;;;2017
Bernhard;Neumann;1985;BP;222;-1;-1;;;;;2017
Annika;Neumeister;1987;GRÜNE;147;Nordrhein-Westfalen;21;;;;;2017
Richard Alexander Michael;Neumeyer;1969;DM;-1;Bayern;6;;;;;2017
Andreas Helmut;Neuner;1968;FDP;246;Bayern;52;;;;;2017
Michael Erwin Walter;Ney;1969;DIE LINKE;-1;Sachsen-Anhalt;10;;;;;2017
Thomas;Ney;1986;PIRATEN;58;-1;-1;;;;;2017
Emmanuel Anyangwe;Dr. Ngassa;1966;FREIE WÄHLER;169;-1;-1;;;;;2017
Franz;Nguyên;1963;BP;-1;Bayern;25;;;;;2017
Narziss;Nianur;1964;MLPD;19;Hamburg;3;;;;;2017
Ophelia;Dr. Nick;1973;GRÜNE;105;Nordrhein-Westfalen;15;;;;;2017
Andreas;Dr. Nick;1967;CDU;204;Rheinland-Pfalz;12;;;;;2017
Jörg;Dr. Nickel;1967;GRÜNE;-1;Schleswig-Holstein;4;;;;;2017
Sabine;Nickel;1967;V-Partei³;-1;Nordrhein-Westfalen;8;;;;;2017
Matthias Heribert;Nicklaus;1982;Tierschutzpartei;-1;Bayern;14;;;;;2017
Petra;Nicolaisen;1965;CDU;1;-1;-1;;;;;2017
Johannes;Nicolay;1972;V-Partei³;-1;Rheinland-Pfalz;1;;;;;2017
Antonia Alwine Gisela;Niecke;1991;CDU;-1;Hamburg;7;;;;;2017
Achim;Nieder;1960;AfD;-1;Niedersachsen;16;;;;;2017
Thomas Andreas;Nieder-Kassebaum;1966;DM;-1;Bremen;1;;;;;2017
Ulrich Otto;Niedermann;1957;ÖDP;-1;Schleswig-Holstein;3;;;;;2017
Andreas;Niedermeier;1982;FREIE WÄHLER;-1;Bayern;35;;;;;2017
Oliver;Dr. Niedostadek;1974;FDP;130;Nordrhein-Westfalen;50;;;;;2017
Joachim;Niegisch;1959;MLPD;55;Bremen;7;;;;;2017
Jennifer;Nielsen;1994;V-Partei³;-1;Hamburg;1;;;;;2017
Sara Inge;Niemann;1972;SPD;-1;Niedersachsen;60;;;;;2017
Ferdinand;Niemann;1992;DIE LINKE;112;-1;-1;;;;;2017
Ralph;Niemeyer;1969;SPD;-1;Baden-Württemberg;39;;;;;2017
Bernhard;Nienaber;1994;V-Partei³;-1;Baden-Württemberg;3;;;;;2017
Guido;Niermann;1964;CDU;-1;Nordrhein-Westfalen;71;;;;;2017
Anke;Nierstenhöfer;1974;MLPD;41;-1;-1;;;;;2017
Albert;Niesen;1959;EB: Niesen;203;-1;-1;;;;;2017
Dietmar;Nietan;1964;SPD;90;Nordrhein-Westfalen;9;;;;;2017
Klaus;Niggemann;1962;AfD;-1;Hessen;15;;;;;2017
Jens;Niklaus;1973;SPD;104;Nordrhein-Westfalen;49;;;;;2017
Andreas;Niklaus;1961;SGP;75;Berlin;3;;;;;2017
Ulrike;Nissen;1959;SPD;183;Hessen;6;;;;;2017
Roswitha;Nißlein;1956;BGE;-1;Bayern;10;;;;;2017
Gabriele;Nitsch;1964;CDU;-1;Nordrhein-Westfalen;80;;;;;2017
Evelyn;Nitsche;1956;AfD;72;-1;-1;;;;;2017
Thomas;Dr. Nitzsche;1975;FDP;-1;Thüringen;11;;;;;2017
Matthias;Nölke;1980;FDP;168;Hessen;8;;;;;2017
Michaela;Noll;1959;CDU;104;Nordrhein-Westfalen;4;;;;;2017
Jan Ralf;Nolte;1988;AfD;167;Hessen;4;;;;;2017
Benjamin Dominik;Nolte;1982;AfD;-1;Bayern;19;;;;;2017
Alexander;Nolte;1988;SPD;-1;Nordrhein-Westfalen;65;;;;;2017
Thomas Hans;Nord;1957;DIE LINKE;63;Brandenburg;2;;;;;2017
Johannes Gerhard;Normann;1968;AfD;-1;Bayern;22;;;;;2017
Angelo;Nossem;1966;DM;-1;Nordrhein-Westfalen;3;;;;;2017
Michael;Nothdurft;1958;BGE;-1;Baden-Württemberg;4;;;;;2017
Konstantin;Dr. von Notz;1971;GRÜNE;10;Schleswig-Holstein;2;;;;;2017
Omid;Nouripour;1975;GRÜNE;183;Hessen;2;;;;;2017
Hubert;Nowack;1961;GRÜNE;285;Baden-Württemberg;38;;;;;2017
Rainer;Nowak;1950;FREIE WÄHLER;53;Niedersachsen;3;;;;;2017
Helmut;Nowak;1941;CDU;101;Nordrhein-Westfalen;38;;;;;2017
Janus;Nowak;1978;NPD;-1;Baden-Württemberg;2;;;;;2017
Rita Magdalena;Nowak;1957;GRÜNE;122;-1;-1;;;;;2017
Siegfried;Nowak;1958;DIE LINKE;137;-1;-1;;;;;2017
Frank;Nufer;1968;Die PARTEI;-1;Berlin;42;;;;;2017
Jörg;Nürnberger;1967;SPD;239;Bayern;23;;;;;2017
Shanna;Nuss;1966;DIE EINHEIT;208;-1;-1;;;;;2017
Herbert;Nussbaum;1958;MLPD;106;-1;-1;;;;;2017
Dennis;Nusser;1996;FDP;274;Baden-Württemberg;21;;;;;2017
Georg;Dr. Nüßlein;1969;CSU;255;-1;-1;;;;;2017
Harald;Nützel;1976;Die PARTEI;31;-1;-1;;;;;2017
Carsten Jens;Nyga;1966;PIRATEN;-1;Nordrhein-Westfalen;19;;;;;2017
Lennart;Obenauer;1994;Die PARTEI;289;-1;-1;;;;;2017
Lena;Oberbäumer;1979;Die PARTEI;132;-1;-1;;;;;2017
Petra;Oberhäuser;1970;CSU;-1;Bayern;51;;;;;2017
