Wahlkreis_Nr;SVB_insgesamt;SVB_landw_fischerei;SVB_produz_gewerbe;SVB_handel_gast_verkehr;SVB_dienstleister;SVB_uebrige_dienstleister;Alter_unter_18;Alter_18_24;Alter_25_34;Alter_35_59;Alter_60_74;Alter_75_plus;ALQ_frauen;ALQ_15_24;ALQ_55_64;ALQ_insgesamt;ALQ_maenner;year
63;345.2;1.9;24.2;21.2;15.8;36.9;14.6;5.2;11.4;36.3;19.4;13;7.4;8.6;8.9;8.2;8.9;2017
64;375.8;1.5;26.7;20.3;17.9;33.6;13.4;5;12.1;36.2;20;13.4;7.8;4.2;9;8.8;9.8;2017
65;324;3.6;33.2;19.7;12.9;30.5;13.3;3.9;10.5;37.1;20.7;14.5;9.2;3.6;12.1;9.6;10;2017
66;314.1;5.2;28.1;21.3;11;34.4;14.9;4.8;11.5;37.5;18.8;12.5;9.4;7.5;10;9.9;10.3;2017
67;327.8;3.7;36.4;24.9;9.5;25.6;14.7;4.4;11.3;38.5;19.2;11.9;6.6;5.8;8.6;7.2;7.7;2017
68;328.4;1.9;31.9;22.3;10.8;33;13.9;4.8;10.9;35.8;20.9;13.7;7;4.3;8;7.6;8.1;2017
69;431.3;0.3;18.4;18.9;26;36.4;13.9;7.2;15;32.5;18.6;12.9;9.1;10.4;10;10;10.7;2017
70;354.1;2.3;31.1;19.6;16.1;31;13;4.3;10.7;35.5;21.6;14.9;8.6;6.9;9.9;9.1;9.6;2017
71;325.9;2.3;35.7;20.1;12.8;29.1;13.4;4.6;11.1;36.5;20.8;13.6;8.9;6.9;9.8;9.2;9.5;2017
72;404.1;0.3;14.6;19.4;26.9;38.8;14.7;7.9;15.3;32;18.4;11.7;8.6;10.4;9.3;9.8;10.9;2017
73;321.9;2.1;33.1;23.5;13.2;28.1;13.6;4.4;11.2;36.4;20.2;14.1;8.7;8.7;9.2;8.8;8.9;2017
74;321.5;2.3;33;24.8;12.7;27.1;13.5;4.3;10.6;36.3;21.6;13.7;9.9;9.4;11.1;10.2;10.5;2017
75;396.1;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
76;391.1;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
77;392.3;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
78;396;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
79;389.3;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
80;392.4;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
81;394.3;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
82;391.3;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
83;395.4;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
84;393.9;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
85;392.9;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
86;397.7;0;13.8;22.3;30;33.9;15.8;7.1;17.1;35.1;15.4;9.4;8.4;12.6;9.5;9.4;10.2;2017
87;372.5;0.2;23.2;20.1;22.7;33.8;13.9;14.6;18.3;30;13.6;9.6;7.9;4.2;9;8.2;8.4;2017
88;373.1;0.2;23.2;20.1;22.7;33.8;17;7.9;11.1;36.3;16.8;10.9;7.9;4.2;9;8.2;8.4;2017
89;265.6;1;29.2;25;14.4;30.5;17;8.1;11.2;37.2;16.2;10.4;5.8;3.4;6.6;6;6.1;2017
90;313;0.8;30.8;17;24.3;27.1;16.7;8.5;11.4;36.2;16.6;10.5;6.9;4.5;6.6;7.2;7.4;2017
91;293.5;0.8;26.5;30.6;17.4;24.7;17.2;7.7;11.4;37;16.7;10;6.9;4.3;8.6;7.1;7.2;2017
92;292.9;0.8;27.7;27;15.3;29.1;16.9;7.7;10.8;36.9;16.7;11;6;3;7.3;6.2;6.4;2017
93;513.6;0;14.9;22.3;37.4;25.3;15.9;8.5;16.9;36.2;13.6;8.9;7.8;5.7;10.8;8.5;9.1;2017
94;511.8;0;14.9;22.3;37.4;25.3;15.9;8.5;16.9;36.2;13.6;8.9;7.8;5.7;10.8;8.5;9.1;2017
95;513.6;0;14.9;22.3;37.4;25.3;15.9;8.5;16.9;36.2;13.6;8.9;7.8;5.7;10.8;8.5;9.1;2017
96;540.4;0.1;8.1;15.3;32.7;43.8;17.3;9.6;15.6;34.3;13.6;9.7;6;4.6;7.2;6.7;7.4;2017
97;258.5;0.9;26.9;24.9;17.4;29.9;17.9;7.9;11.3;37;16;9.9;4.8;3.5;5.3;5.2;5.7;2017
98;259.4;0.9;26.9;24.9;17.4;29.9;17.6;7.7;10.6;36.3;16.8;11;4.8;3.5;5.3;5.2;5.7;2017
99;374.2;0.4;41.4;16.2;19.1;23;17.6;8.2;11.1;36.1;15.9;11.1;5.3;3;6.6;5.5;5.7;2017
100;256.1;0.5;27.3;23.5;16.6;32.1;16.9;7.2;9.7;37.2;17;12;5.8;3.3;7.6;6.3;6.7;2017
101;447.1;0.1;22.9;20.3;31.5;25.2;16.4;8;14.3;36.2;14.6;10.5;8.1;6.5;9.6;8.5;8.9;2017
102;348.8;0;28.9;21;19.8;30.3;16.5;8.4;13.1;35.1;15.8;11.2;8.7;8.2;7.6;9.6;10.4;2017
103;353.6;0.1;38.3;19.6;16;26;16.6;7.9;11.7;36.2;16.1;11.5;8.4;7.3;7.6;8.9;9.3;2017
104;375.7;0.2;31.7;28.3;18.8;21;16.3;6.9;10.5;36.4;17.5;12.4;6.1;3.3;7.5;6.4;6.8;2017
105;376.5;0.2;31.7;28.3;18.8;21;16.4;7;10.3;36.4;17.5;12.3;6.1;3.3;7.5;6.4;6.8;2017
106;663.2;0.1;12.4;23.1;40.6;23.7;15.6;7.3;16;36.2;14.7;10.2;7.1;5;9.4;7.7;8.2;2017
107;654.8;0.1;12.4;23.1;40.6;23.7;15.6;7.3;16;36.2;14.7;10.2;7.1;5;9.4;7.7;8.2;2017
108;324.6;0.7;28.1;31.4;16.9;22.9;17.5;7.5;11.7;36.8;15.9;10.6;5.4;2.6;6.5;5.7;5.9;2017
109;364.9;0.3;23.1;25.6;22.4;28.6;16.2;8.4;12.9;35.5;16.2;10.7;9.9;6.8;9.3;9.9;10;2017
110;352.9;0.6;29.1;27.5;17.7;25;16.4;7.1;10.6;36.9;17.2;11.7;7.4;3.6;8.4;7.8;8.1;2017
111;293.3;2.2;30;27.5;13.3;27.1;16.3;7.6;10.4;37.8;16.9;11;6.3;2.8;8.1;6.7;7;2017
112;314.9;4.9;24.3;24;16.7;30.1;16.9;8.5;11.7;36.6;16.2;10.1;6.3;3.1;6.8;6.4;6.5;2017
113;283.5;0.8;27.4;25.5;16.4;29.9;16;7.6;10.5;37.1;17.5;11.3;6.8;3.8;7.1;7.1;7.3;2017
114;333.2;0.6;29;24.3;17.6;28.5;15.8;7.7;11.7;35.8;17.3;11.8;8.4;4.4;8.8;8.7;9;2017
115;341;0.1;27.6;23.2;21.5;27.6;16.5;8.4;12.9;35.3;15.6;11.2;13.2;9.7;11.2;13.1;12.9;2017
116;342;0.1;27.6;23.2;21.5;27.6;16.5;8.4;12.9;35.3;15.6;11.2;13.2;9.7;11.2;13.1;12.9;2017
117;299.3;0.2;27.3;24.5;20.2;27.8;15.4;7.9;12.1;36.2;17.1;11.4;9.6;7.4;9.2;10;10.4;2017
118;371.8;0.1;25.3;22.8;25.7;26.1;15.4;7.6;12.2;35.3;17.1;12.4;9.1;5.2;8.9;9.4;9.8;2017
