nachname;vorname;geburtsjahr;partei;wahlkreis;bundesland;landeslistePlatz;jahr
Bakker;Notker Heinrich Dieter;1965;Die Humanisten;;Nordrhein-Westfalen;;2017
Balci;Fatma;1983;ADD;;Nordrhein-Westfalen;;2017
Baldes;Franziska;1969;MLPD;;Hamburg;;2017
Balg;Torsten;1971;ÖDP;;Rheinland-Pfalz;;2017
Balke;Ralf Peter;1963;Die PARTEI;55;Bremen;5;2017
Balleis;Martin;1959;BP;;Bayern;;2017
Ballerstädt;Kay-Olaf;1980;FREIE WÄHLER;277;Baden-Württemberg;11;2017
Ballin;August Wilhelm;1951;DKP;;Bayern;;2017
Ballschuh;Tim;1990;AfD;;Sachsen-Anhalt;;2017
Balzer;Manfred;1962;Die PARTEI;;Niedersachsen;;2017
Banaszak;Felix;1989;GRÜNE;116;;;2017
Bandt;Sebastian;1985;Die PARTEI;;Nordrhein-Westfalen;;2017
Dr. Bank;Sabine Barbara;1954;FREIE WÄHLER;;Mecklenburg-Vorpommern;;2017
Dr. von der Bank;Ralf Sebastian;1964;FREIE WÄHLER;62;;;2017
Bänsch;Knut;1961;PIRATEN;;Hessen;;2017
Bär;Karl;1985;GRÜNE;223;Bayern;12;2017
Bär;Dorothee;1978;CSU;248;Bayern;3;2017
Baradari;Nezahat;1965;SPD;149;Nordrhein-Westfalen;18;2017
Baranski;Robin;1977;SPD;;Nordrhein-Westfalen;;2017
Barbig;Paul Emil;1995;SPD;;Rheinland-Pfalz;;2017
Bareiß;Thomas;1975;CDU;295;;;2017
Barimis;Michel;1987;MLPD;;Bayern;;2017
Dr. Barley;Katarina;1968;SPD;203;Rheinland-Pfalz;3;2017
Barnett;Doris;1953;SPD;207;Rheinland-Pfalz;5;2017
Baron;Daniel;1983;FREIE WÄHLER;171;Hessen;18;2017
Baron;Eva;1983;CDU;;Baden-Württemberg;;2017
Barrientos Krauss;Simone;1963;DIE LINKE;251;Bayern;5;2017
Barski;Daniel;1982;EB: Barski 281; 281;;;2017
Bartels;Alrich Jann;1966;FREIE WÄHLER;24;Niedersachsen;9;2017
Bartelt;Christian;1976;FDP;16;Mecklenburg-Vorpommern;2;2017
Barth;Kevin;1990;SPD;;Niedersachsen;;2017
Barthle;Norbert;1952;CDU;269;;;2017
Bartholomé;Anna;1949;MLPD;;Rheinland-Pfalz;;2017
Dr. Bartke;Matthias;1959;SPD;19;Hamburg;6;2017
Bartol;Sören;1974;SPD;171;Hessen;5;2017
Barton;Olaf;1973;EB: Barton 130; 130;;;2017
Dr. Bartsch;Dietmar Gerhard;1958;DIE LINKE;14;Mecklenburg-Vorpommern;1;2017
Bartsch;Simon;1995;Die PARTEI;;Berlin;;2017
Barutta;Bernhard;1961;FREIE WÄHLER;274;;;2017
Barz;Monika;1953;GRÜNE;;Baden-Württemberg;;2017
Bas;Bärbel;1968;SPD;115;Nordrhein-Westfalen;32;2017
Baßfeld;Gerd;1947;DIE LINKE;113;;;2017
Bastian;Endrik;1964;SGP;152;Berlin;2;2017
Bäther;Heiner;1969;DIE LINKE;110;Nordrhein-Westfalen;18;2017
Bauch;David Karol;1986;V-Partei³;;Sachsen;;2017
Bauer;Emil Karl Eckehard;1953;MLPD;252;Bayern;1;2017
Bauer;Nicole;1987;FDP;228;Bayern;11;2017
Bauer;Susanne Iris;1977;GRÜNE;237;Bayern;26;2017
Bauer;Anna;1989;Die PARTEI;;Berlin;;2017
Bauer;Sven;1969;DiB;;Sachsen;;2017
Bauer;Ursula;1957;BGE;;Baden-Württemberg;;2017
Bauer;Robert;1985;CDU;;Mecklenburg-Vorpommern;;2017
Bauer;Oksana;1970;DIE EINHEIT;206;;;2017
Bauer;Armin;1972;AfD;233;;;2017
Baueregger;Konrad Hubert;1957;BP;225;;;2017
Bauerle;Joachim;1956;MLPD;262;Baden-Württemberg;14;2017
Bäuerle;Peter;1951;MLPD;;Baden-Württemberg;;2017
Baum;Anne-Kathrin Hannah;1981;DiB;;Hamburg;;2017
Dr. Baum;Christina;1956;AfD;276;;;2017
Dr. Baumann;Bernd;1958;AfD;19;Hamburg;1;2017
Baumann;Horst Michael-Thorsten;1969;FREIE WÄHLER;;Niedersachsen;;2017
Baumann;Petra;1961;GRÜNE;;Hessen;;2017
Baumgarten;Heino;1959;SPD;;Niedersachsen;;2017
Baumgartner;Roman;1982;CDU;;Baden-Württemberg;;2017
Baums;Carsten;1968;PIRATEN;;Hessen;;2017
Baur;Dieter;1953;ÖDP;258;Baden-Württemberg;7;2017
Baur;Jens;1979;NPD;160;Sachsen;1;2017
Baur;Mathias Eduard Josef;1990;FDP;231;Bayern;28;2017
Baur;Alexandra;1972;CDU;;Baden-Württemberg;;2017
Bausch;Patrick;1996;DIE LINKE;286;;;2017
Bause;Margarete;1959;GRÜNE;218;Bayern;9;2017
Bauske;Thomas;1972;SPD;240;Bayern;38;2017
Dr. Bayaz;Danyal;1983;GRÜNE;278;Baden-Württemberg;12;2017
Bayer;Oliver;1977;PIRATEN;;Nordrhein-Westfalen;;2017
Bayer;Bernhard;1963;DM;;Bayern;;2017
Bayerbach;Markus Artur Ernst;1963;AfD;252;;;2017
Bayram;Canan;1966;GRÜNE;83;;;2017
Dr. Bayrle;Josef Wolfgang;1946;BP;;Bayern;;2017
Bechtoldt;Oliver Roland Wilhelm;1968;Die PARTEI;;Hessen;;2017
von der Beck;Sabine;1963;GRÜNE;141;Nordrhein-Westfalen;36;2017
Beck;Tobias;1987;FREIE WÄHLER;231;Bayern;19;2017
Beck;Ursula;1954;DIE LINKE;;Baden-Württemberg;;2017
Beck;Stefanie Annegret;1985;V-Partei³;;Niedersachsen;;2017
Beck;Christel;1948;MLPD;263;;;2017
Becker;Harald;1964;Tierschutzallianz;285;Baden-Württemberg;2;2017
Becker;Heiko;1983;SPD;148;Nordrhein-Westfalen;25;2017
Becker;Tobias;1990;Die PARTEI;;Baden-Württemberg;;2017
Becker;Karin;1966;V-Partei³;;Nordrhein-Westfalen;;2017
Becker;Vera;1985;DiB;;Nordrhein-Westfalen;;2017
Becker;Werner;1943;DKP;60;;;2017
Beckmann;Bert;1958;MLPD;12;Mecklenburg-Vorpommern;7;2017
Beckmann;Markus;1988;EB: Beckmann 83; 83;;;2017
Beckord;Heike;1963;SPD;;Niedersachsen;;2017
Bedel;Christopher;1993;Die PARTEI;;Hessen;;2017
Bedrich;Marco;1993;SPD;;Brandenburg;;2017
Beeck;Jens;1969;FDP;31;Niedersachsen;2;2017
in der Beek;Olaf;1967;FDP;140;Nordrhein-Westfalen;19;2017
Beer;Nicola Gertrud Ruth;1970;FDP;182;Hessen;1;2017
Beer;Floris;1999;Die PARTEI;63;;;2017
Beerhold;Julia;1965;DiB;;Nordrhein-Westfalen;;2017
Beermann;Maik;1981;CDU;40;Niedersachsen;26;2017
Beese;Fabian;1998;V-Partei³;;Niedersachsen;;2017
Behnke;Boris;1970;PIRATEN;;Hessen;;2017
Behr;Karsten;1969;BGE;;Mecklenburg-Vorpommern;;2017
Behrend;Rainer;1967;DM;;Bayern;;2017
Behrendt;Volker;1967;ÖDP;23;Hamburg;1;2017
Behrendt;Michael;1972;PIRATEN;;Hessen;;2017
Behrendt;Diethelm Dietmar;1956;MLPD;;Mecklenburg-Vorpommern;;2017
Behrendt;Klaus;1954;Die PARTEI;;Berlin;;2017
Behrens;Rainer Heinrich Wilhelm;1950;DIE LINKE;21;Hamburg;7;2017
Behrens;Manfred;1956;CDU;67;Sachsen-Anhalt;5;2017
Behrens;Matthias;1972;NPD;;Niedersachsen;;2017
Behrens;Beatrice Anette;1963;DiB;;Hamburg;;2017
Behrens;Herbert Dietrich;1954;DIE LINKE;34;;;2017
Behrje;Kyra;1985;DIE LINKE;;Bremen;;2017
Behrmann;Heiko Hans;1969;V-Partei³;;Bayern;;2017
Beier;Astrid;1974;FREIE WÄHLER;160;Sachsen;3;2017
Beier;Klaus;1966;NPD;;Brandenburg;;2017
Beier;Julian;1994;PIRATEN;;Baden-Württemberg;;2017
Beier;Andreas;1971;UNABHÄNGIGE;255;;;2017
Beinhorn;Karin;1964;DKP;;Niedersachsen;;2017
Belka;Günter Manfred;1959;MLPD;;Nordrhein-Westfalen;;2017
Bellmann;Veronika;1960;CDU;161;Sachsen;7;2017
Beltz;Erika Hannelore;1944;DKP;;Hessen;;2017
Beltz;Michael Karl;1941;DKP;;Hessen;;2017
Benda;Friederike;1987;DIE LINKE;80;Berlin;11;2017
Benda;Judith;1987;DIE LINKE;82;Berlin;7;2017
Bender;Julien;1985;SPD;281;Baden-Württemberg;24;2017
Bender;Anna-Lena;1984;CDU;;Hessen;;2017
Bender;Martin;1977;FREIE WÄHLER;;Saarland;;2017
Dr. Benecke;Mark;1970;Die PARTEI;101;Nordrhein-Westfalen;1;2017
Dr. Bengen;Jens Curt Frithjof;1970;DM;;Hessen;;2017
Benning;Sybille;1961;CDU;129;Nordrhein-Westfalen;28;2017
Bent;Reiner;1974;Tierschutzpartei;;Nordrhein-Westfalen;;2017
Benz;Wilhelm;1953;DKP;;Baden-Württemberg;;2017
Benze;Daniela;1981;Die PARTEI;;Berlin;;2017
Berberich;Patrick;1979;CDU;;Rheinland-Pfalz;;2017
Berberich;Alexander Wanja;1989;Die PARTEI;;Sachsen;;2017
Berbig;Miro;1964;DIE LINKE;8;;;2017
Berchem;Manfred;1967;AfD;98;;;2017
Berens;Jörg;1979;FDP;129;Nordrhein-Westfalen;39;2017
vom Berg;Joachim;1974;FDP;118;Nordrhein-Westfalen;35;2017
Berg;Ronald;1966;FREIE WÄHLER;;Hessen;;2017
Dr. Berg;Eva Gabriela;1960;FDP;;Bayern;;2017
Dr. Berg;Hans-Joachim;1948;AfD;;Berlin;;2017
Berger;Johannes;1954;FREIE WÄHLER;65;Brandenburg;9;2017
Dr. Berger;Franz Herbert;1961;SPD;63;Brandenburg;14;2017
Berger;Monika;1969;SPD;;Rheinland-Pfalz;;2017
Berger-Kauffmann;Petra;1959;FREIE WÄHLER;;Rheinland-Pfalz;;2017
Bergforth;Markus Heinz-Josef;1966;SPD;154;Sachsen;14;2017
Dr. Berghegger;André;1972;CDU;38;Niedersachsen;22;2017
Berghoff;Susanne;1956;Tierschutzpartei;;Niedersachsen;;2017
Bergmann;Thomas;1966;ÖDP;294;Baden-Württemberg;5;2017
Bergmann-Hartl;Astrid;1969;FREIE WÄHLER;204;Rheinland-Pfalz;4;2017
Berlingen;Ralf Markus;1967;FDP;;Rheinland-Pfalz;;2017
Bernau-Wagner;Peter;1979;B*;;Berlin;;2017
Dr. Berndt;Michael-Tillmann;1956;PIRATEN;24;Niedersachsen;1;2017
Bernhard;Marc;1972;AfD;271;Baden-Württemberg;9;2017
Bernhard;Bettina;1961;FREIE WÄHLER;;Nordrhein-Westfalen;;2017
Prof. Dr. Bernhardt;Winfried;1937;AfD;;Niedersachsen;;2017
Bernshausen;Ina Nadine;1979;GRÜNE;;Hessen;;2017
Bernstein;Melanie;1976;CDU;6;Schleswig-Holstein;8;2017
Bernstiel;Christoph;1984;CDU;72;Sachsen-Anhalt;7;2017
Dr. Bernzen;Christian Hinrich Gottfried;1962;SPD;;Hamburg;;2017
Berrios Miranda;Mario Francisco;1971;DKP;61;Brandenburg;1;2017
Bertram;Achim Oliver;1971;FDP;209;Rheinland-Pfalz;40;2017
Bertram;Ute;1961;CDU;48;Niedersachsen;14;2017
Best;Otfried Richard;1957;NPD;;Saarland;;2017
Best;Alexander Peter;1973;SPD;;Hessen;;2017
Bethke;Marieluise-Anelie;1956;CDU;;Baden-Württemberg;;2017
Betticher;Achim Rainer;1958;Tierschutzpartei;;Nordrhein-Westfalen;;2017
Betz;Florian;1985;GRÜNE;;Sachsen-Anhalt;;2017
Beutin;Lorenz Gösta;1978;DIE LINKE;6;Schleswig-Holstein;2;2017
Beutin;Heidi Herma Elise;1945;DIE LINKE;10;;;2017
Beyer;Peter;1970;CDU;105;Nordrhein-Westfalen;50;2017
Dr. Beyer;Seda;1974;Gesundheitsforschung;;Nordrhein-Westfalen;;2017
Bezler;Thomas;1966;DM;;Baden-Württemberg;;2017
Biadacz;Marc;1979;CDU;260;;;2017
Marschall von Bieberstein;Matern;1962;CDU;281;;;2017
Bieder;Bernd Michael;1960;DM;;Brandenburg;;2017
Biedermann;Daniel;1978;FREIE WÄHLER;;Schleswig-Holstein;;2017
Biedermann;Reinhard;1973;DM;;Bayern;;2017
Biedermann;Wilfried;1951;AfD;218;;;2017
Bienek;Michael;1977;PDV;297;Saarland;1;2017
Bienstein;Andreas;1968;FREIE WÄHLER;;Niedersachsen;;2017
Biermann;Frank;1965;V-Partei³;;Nordrhein-Westfalen;;2017
Bierstedt;Hannah;1982;Die PARTEI;;Schleswig-Holstein;;2017
Biester;Harald;1963;ÖDP;;Niedersachsen;;2017
Bigus;Joachim Fritz Anton;1958;DKP;39;Niedersachsen;1;2017
