nachname;vorname;geburtsjahr;partei;wahlkreis;bundesland;landeslistePlatz;jahr
Kurtev;Tervel;1994;V-Partei³;;Nordrhein-Westfalen;;2017
Kurth;Pierre;1983;FDP;175;Hessen;17;2017
Kurth;Markus;1966;GRÜNE;142;Nordrhein-Westfalen;8;2017
Küsel;Karin;1966;SPD;;Rheinland-Pfalz;;2017
Kuske;Lars;1984;Die PARTEI;;Bayern;;2017
Kuske;Monika Beate;1957;MLPD;;Sachsen-Anhalt;;2017
Kußmann;Florian;1975;FDP;275;Baden-Württemberg;25;2017
Küster;Angela;1965;V-Partei³;;Berlin;;2017
Kyas;Roberto;1961;MLPD;280;;;2017
Laack;Ute;1958;PIRATEN;;Berlin;;2017
Laatsch;Matthias;1966;Die PARTEI;;Berlin;;2017
Laatsch;Harald;1956;AfD;;Berlin;;2017
Labahn;Stefan;1996;SPD;;Brandenburg;;2017
Labatzki;Gerdhard;1954;MLPD;;Nordrhein-Westfalen;;2017
Lach;Günter;1954;CDU;51;Niedersachsen;28;2017
Lachmann;Daniel;1980;NPD;175;Hessen;2;2017
Lachnitt;Christian;1988;FDP;;Thüringen;;2017
Lacroix;Frederic;1988;DiB;;Sachsen-Anhalt;;2017
Lager;Werner;1957;SPD;;Niedersachsen;;2017
Lagosky;Uwe;1962;CDU;49;Niedersachsen;24;2017
Lahme;Marius;1989;Die PARTEI;;Niedersachsen;;2017
Laitenberger;Andreas;1987;AfD;;Baden-Württemberg;;2017
Lambers;Manuel;1993;DIE LINKE;78;Berlin;12;2017
Lambrecht;Christine;1965;SPD;188;Hessen;2;2017
Graf Lambsdorff;Alexander;1966;FDP;96;Nordrhein-Westfalen;3;2017
Prof. h. c. Dr. Lamers;Karl;1951;CDU;274;Baden-Württemberg;8;2017
Lämmel;Gottfried Andreas;1959;CDU;159;;;2017
Lammersmann;Bernhard;1964;GRÜNE;124;;;2017
Lampe;Dirk;1964;NPD;;Bremen;;2017
Land;Regine Helene;1958;NPD;;Hessen;;2017
Landesberger;Susann;1963;Tierschutzpartei;;Bayern;;2017
Landgraf;Katharina;1954;CDU;154;Sachsen;3;2017
Landt;Ahlke Louise;1994;DiB;;Niedersachsen;;2017
Lang;Siegfried Karl;1964;AfD;246;Bayern;18;2017
Lang;Melanie;1989;GRÜNE;269;Baden-Württemberg;21;2017
Lang;Florian Arthur Peter;1985;PIRATEN;;Niedersachsen;;2017
Lang;Lucas;1990;BGE;;Nordrhein-Westfalen;;2017
Lang;Jörg;1972;MIETERPARTEI;82;;;2017
Langbehn;Bastian;1982;Die PARTEI;;Schleswig-Holstein;;2017
Lange;Helmut Walter Wolfgang;1952;MLPD;54;Bremen;4;2017
Lange;Wanja Max;1987;MLPD;173;Saarland;5;2017
Lange;Christian;1964;SPD;269;Baden-Württemberg;2;2017
Lange;Henrik;1979;V-Partei³;;Bayern;;2017
Lange;Gregor Peter;1982;V-Partei³;;Bayern;;2017
Lange;Jens;1974;AfD;;Sachsen-Anhalt;;2017
Lange;Bernd;1957;FDP;;Mecklenburg-Vorpommern;;2017
Lange;Ulrich;1969;CSU;254;;;2017
Lange;Beate Julitta;1958;FREIE WÄHLER;47;;;2017
Langel;Dagmar;1956;BGE;;Nordrhein-Westfalen;;2017
Langemeier;Kay;1977;MLPD;53;;;2017
Langer;Achim Gert;1961;MENSCHLICHE WELT;55;Bremen;1;2017
Langer;Nicole;1973;FDP;52;Niedersachsen;23;2017
Langer;Gunnar;1983;PIRATEN;179;Hessen;28;2017
Langhammer;Michael;1978;Die PARTEI;;Bayern;;2017
Langmaack;Jannis;1992;Die PARTEI;;Schleswig-Holstein;;2017
Lanig;Theresia;1989;CDU;;Baden-Württemberg;;2017
Lanzinger;Anna-Maria;1996;GRÜNE;213;Bayern;17;2017
Last;Hans-Werner;1955;FREIE WÄHLER;4;;;2017
Laub;Jasmin Margot;1976;FDP;245;Bayern;27;2017
Dr. Laude;Gernot Fritz;1938;AfD;181;;;2017
Dr. Launert;Silke;1976;CSU;237;Bayern;18;2017
Prof. Dr. Lauterbach;Karl;1963;SPD;101;Nordrhein-Westfalen;58;2017
Laux;Lea Magdalena;1999;PIRATEN;297;Saarland;1;2017
Lay;Caren Nicole;1972;DIE LINKE;156;Sachsen;3;2017
Lazar;Monika;1967;GRÜNE;153;Sachsen;1;2017
Lazarevi_;Biljana;1965;BGE;;Hessen;;2017
Leber;Silke;1968;FDP;270;Baden-Württemberg;27;2017
Lebkücher;Thomas;1978;FREIE WÄHLER;;Rheinland-Pfalz;;2017
Lebmeier;Josef;1963;BüSo;;Bayern;;2017
Lechler;Pascal André;1980;SPD;257;Bayern;45;2017
Lechler;Katrin;1973;GRÜNE;279;Baden-Württemberg;27;2017
Lechte;Ulrich;1977;FDP;233;Bayern;8;2017
Leder;Tim;1994;EB: Leder 247; 247;;;2017
Legath;Lars;1989;DIE LINKE;;Sachsen;;2017
Legewie;Gabriele;1957;Tierschutzpartei;;Baden-Württemberg;;2017
Lehmann;Sylvia;1954;SPD;62;Brandenburg;5;2017
Lehmann;Silvia;1963;DIE LINKE;176;Hessen;14;2017
Lehmann;Sven;1979;GRÜNE;94;Nordrhein-Westfalen;4;2017
Lehmann;Dennis;1988;FREIE WÄHLER;;Hessen;;2017
Lehmann;Jens;1967;CDU;152;;;2017
Lehmann;Matthias;1953;AfD;206;;;2017
Lehmann;Dominik;1982;DIE LINKE;220;;;2017
Lehmler;Claudia;1984;V-Partei³;;Rheinland-Pfalz;;2017
Lehnen;Therese;1963;PIRATEN;;Berlin;;2017
Lehrieder;Paul;1959;CSU;251;Bayern;36;2017
Lehrke;Nicolas Andreas;1965;AfD;;Niedersachsen;;2017
Leidig;Sabine;1961;DIE LINKE;169;Hessen;1;2017
Leidinger-Beierle;Maria Bernadette;1951;MLPD;183;;;2017
Dr. Leikert;Katja;1975;CDU;180;Hessen;6;2017
Leinz;Rolf;1963;FREIE WÄHLER;;Hessen;;2017
Leis;Miriam Ji Sun;1976;Gesundheitsforschung;;Bayern;;2017
Leißner;Dirk;1970;FREIE WÄHLER;;Sachsen-Anhalt;;2017
Leitner;Jens;1971;BüSo;;Sachsen;;2017
Lembach;Ralf;1982;EB: Lembach 247; 247;;;2017
Lemke;Steffi;1968;GRÜNE;70;Sachsen-Anhalt;1;2017
Lemke;Korvin;1990;FREIE WÄHLER;;Sachsen;;2017
Lemke;Jörn;1974;NPD;;Schleswig-Holstein;;2017
Lemme;Steffen-Claudio;1965;SPD;189;Thüringen;5;2017
Lemmen;Veith;1984;SPD;;Nordrhein-Westfalen;;2017
Lengemann;Eike;1989;GRÜNE;43;Niedersachsen;20;2017
Lenger-Atan;Claudia;1948;MLPD;290;;;2017
van Lengerich;Holger;1972;PIRATEN;;Bayern;;2017
Lengner;Olaf;1975;PIRATEN;86;Berlin;7;2017
Lenkert;Ralph;1967;DIE LINKE;191;Thüringen;2;2017
Lenz;Tobias;1996;V-Partei³;;Nordrhein-Westfalen;;2017
Lenz;Georg;1989;Die PARTEI;;Nordrhein-Westfalen;;2017
Dr. Lenz;Andreas;1981;CSU;213;;;2017
Lenz;Ulrich;1961;DIE LINKE;199;;;2017
Lenz;Dominic;1998;DIE LINKE;232;;;2017
Leopold;Sabine;1958;MLPD;122;Nordrhein-Westfalen;18;2017
Lepère;Arnd;1961;ÖDP;;Hessen;;2017
Lepotinec;Ana-Marija;1974;V-Partei³;;Baden-Württemberg;;2017
Leps;Andreas;1970;GRÜNE;194;Thüringen;4;2017
Lerche;Frank Werner;1966;PIRATEN;;Hessen;;2017
Graf von und zu Lerchenfeld;Philipp-Nerius Joh. Peter Maria Josef Hugo Emmeran;1952;CSU;;Bayern;;2017
Lesch;Ingo Harry;1973;FREIE WÄHLER;34;;;2017
Letter;Michael;1961;SPD;;Niedersachsen;;2017
Leubner;Aaron;1993;ÖDP;;Sachsen;;2017
Leunert;Jörn;1952;GRÜNE;104;;;2017
Leurs;Sandra;1961;PIRATEN;;Nordrhein-Westfalen;;2017
Leutert;Michael Gerhard;1974;DIE LINKE;162;Sachsen;4;2017
Leuthäußer;Christian;1980;Die PARTEI;;Thüringen;;2017
Leuzinger;Björn;1989;Die PARTEI;274;Baden-Württemberg;8;2017
Lewing;Thomas;1970;CDU;;Mecklenburg-Vorpommern;;2017
Lewis;Christopher Gene;1945;BüSo;;Hessen;;2017
Lex;Ursula Sabine;1964;FDP;;Bayern;;2017
Dr. von der Leyen;Ursula;1958;CDU;42;Niedersachsen;1;2017
Dr. Leyhausen;Daniela;1967;CDU;;Nordrhein-Westfalen;;2017
Leymann;Klaus;1965;MLPD;140;Nordrhein-Westfalen;5;2017
Lezius;Antje;1960;CDU;201;Rheinland-Pfalz;9;2017
Lichert;Andreas John;1975;AfD;176;Hessen;7;2017
Lichtenberg;Petra Bärbel Helga Dietlinde;1958;MLPD;;Bremen;;2017
Liebhardt;Bernd Wolfgang;1977;CSU;;Bayern;;2017
Liebich;Stefan;1972;DIE LINKE;76;Berlin;2;2017
Liebl;Georg;1947;DIE LINKE;247;;;2017
Liebscher;Peggy;1977;CDU;;Sachsen;;2017
Lieder;Marcus;1983;ÖDP;159;;;2017
Lienekampf;Walter;1957;BGE;;Niedersachsen;;2017
Lienshöft;Irene;1972;AfD;297;;;2017
Liese;Wolf-Dieter;1958;AfD;140;Nordrhein-Westfalen;21;2017
Ließfeld;Bernd;1950;FREIE WÄHLER;211;Rheinland-Pfalz;7;2017
Ließke;Heinz;1953;FREIE WÄHLER;58;Brandenburg;5;2017
Dr. Lillge;Wolfgang;1950;BüSo;81;Berlin;3;2017
Lillge;Ulrike;1950;BüSo;;Berlin;;2017
Limbacher;Esra-Leon Ruben;1989;SPD;299;Saarland;5;2017
Limburg;Erik Martin;1988;PIRATEN;;Thüringen;;2017
Limburg;Michael Werner;1940;AfD;;Brandenburg;;2017
Lindemann;Thomas;1980;NPD;;Sachsen-Anhalt;;2017
Lindemer;Matthias;1987;BGE;;Baden-Württemberg;;2017
Lindenschmid;Daniel;1992;AfD;269;;;2017
Lindh;Helge;1976;SPD;102;Nordrhein-Westfalen;31;2017
Lindholz;Andrea;1970;CSU;247;Bayern;14;2017
Lindner;Christian;1979;FDP;100;Nordrhein-Westfalen;1;2017
Dr. Lindner;Tobias;1982;GRÜNE;211;Rheinland-Pfalz;2;2017
Lindner;Agneta;1984;DKP;;Brandenburg;;2017
Lindner;Jörg Günter;1966;DM;;Bayern;;2017
Lingg;Andrea Barbara;1960;MLPD;;Bayern;;2017
Linguari;Roberto;1962;DIE LINKE;31;;;2017
Link;Michael Georg;1963;FDP;267;Baden-Württemberg;3;2017
Dr. Link;Manfred;1941;ÖDP;;Bayern;;2017
Linke;Sebastian;1990;FDP;;Bremen;;2017
Dr. Linnemann;Carsten;1977;CDU;137;;;2017
Linnerer;Michael Franz;1980;FDP;222;Bayern;26;2017
Linsenbreder;Eva Maria;1956;SPD;251;Bayern;24;2017
Lippmann;Beate Christine;1967;DiB;;Bayern;;2017
Lippold;Henry Kurt;1975;NPD;74;;;2017
Dr. Lippold;Gerd;1961;GRÜNE;154;;;2017
Lips;Patricia;1963;CDU;187;Hessen;3;2017
Lirsch;Edith Amalia;1958;ÖDP;;Bayern;;2017
Lischka;Burkhard Karl Erich;1965;SPD;69;Sachsen-Anhalt;1;2017
Lister;Manfred;1960;FDP;169;Hessen;20;2017
Littig;Michael;1965;CDU;;Rheinland-Pfalz;;2017
Lobeck;Sven;1976;NPD;;Rheinland-Pfalz;;2017
Löbel;Nikolas;1986;CDU;275;;;2017
Lobnig;Jochen;1957;PIRATEN;114;Nordrhein-Westfalen;15;2017
Loddo;Franko Peter Arnulf;1963;V-Partei³;;Sachsen;;2017
Lodwich;Aleksander;1980;DM;;Nordrhein-Westfalen;;2017
Löffert-Pokatis;Friederike;1985;GRÜNE;;Schleswig-Holstein;;2017
Lohner;Walter;1941;FDP;254;Bayern;43;2017
Lohse;Swana-Alruna;1983;Die PARTEI;;Schleswig-Holstein;;2017
Lölkes;Karin;1961;CDU;;Hessen;;2017
Lommes;Peter;1956;DKP;;Nordrhein-Westfalen;;2017
Lommes;Angelika;1956;DKP;;Nordrhein-Westfalen;;2017
Longerich;Michael;1971;DM;;Nordrhein-Westfalen;;2017
Loos;Bernhard;1955;CSU;217;Bayern;20;2017
Dr. Loos;Dorit;1944;CDU;;Baden-Württemberg;;2017
Loos;Tilman;1988;DIE LINKE;;Sachsen;;2017
Loos;Jürgen;1972;ÖDP;215;;;2017
Lopau;Kornelia;1953;DKP;;Baden-Württemberg;;2017
Löpke;Roland;1955;PIRATEN;139;Nordrhein-Westfalen;20;2017
Lordieck;Holger;1969;GRÜNE;126;;;2017
Lorenz;Ralph;1970;FDP;97;Nordrhein-Westfalen;28;2017
Lorenz;Wilfried;1942;CDU;;Niedersachsen;;2017
Lorenz;Ursula Maria;1969;FDP;;Rheinland-Pfalz;;2017
Lorenz;Henry Bernd;1973;DM;;Brandenburg;;2017
Lorenz;Janine Michele;1988;PIRATEN;;Rheinland-Pfalz;;2017
Lorenz;Jörg;1956;SPD;;Nordrhein-Westfalen;;2017
Lorenzen;Florian;1986;CDU;;Schleswig-Holstein;;2017
Lorkowski;Peter-Paul;1942;AfD;23;;;2017
Löser;Thomas;1972;GRÜNE;159;;;2017
Loth;Barbara Eva;1957;SPD;;Berlin;;2017
Lottenburger;Jürgen;1942;Die PARTEI;;Berlin;;2017
Lotze;Hiltrud;1958;SPD;37;Niedersachsen;20;2017
Dr. Lötzsch;Gesine;1961;DIE LINKE;86;Berlin;3;2017
Löw;Jens;1962;SPD;286;Baden-Württemberg;26;2017
Lübbert;Philipp;1997;FREIE WÄHLER;;Mecklenburg-Vorpommern;;2017
Lübcke;Silvia Franziska;1961;CDU;;Niedersachsen;;2017
Lübeck;Timo;1983;CDU;169;Hessen;20;2017
Lubitz;Holger Klaus Friedel;1971;PIRATEN;;Niedersachsen;;2017
Lubitz;Eleonore;1958;DIE LINKE;;Nordrhein-Westfalen;;2017
Lubnow;Stephanie;1974;FREIE WÄHLER;9;;;2017
Lucassen;Hans-Rüdiger;1951;AfD;92;Nordrhein-Westfalen;7;2017
Lück;Detlev;1964;BGE;;Bayern;;2017
Lück;Sandra Ramona Ruth;1974;Tierschutzpartei;;Nordrhein-Westfalen;;2017
Dr. Lücking-Michel;Claudia Maria;1962;CDU;96;Nordrhein-Westfalen;26;2017
Lucks;Christian Rudolf Michael;1975;FDP;1;Schleswig-Holstein;6;2017
Dr. Luczak;Jan-Marco;1975;CDU;81;Berlin;3;2017
Lüdemann;Otto Ernst;1941;BGE;;Hamburg;;2017
Dr. Ludewig;Gottfried;1982;CDU;76;Berlin;5;2017
Dr. Ludwig;Saskia;1968;CDU;61;Brandenburg;8;2017
Ludwig;Torsten;1973;AfD;196;Thüringen;8;2017
Ludwig;Daniela;1975;CSU;222;Bayern;7;2017
Ludwig;Anja;1969;Die PARTEI;;Sachsen;;2017
Ludwig;Jan-Friedrich;1983;V-Partei³;;Bremen;;2017
Ludwig;Erwin Nikolaus;1958;AfD;203;;;2017
Luetkens;Sascha;1976;DIE LINKE;;Schleswig-Holstein;;2017
Lühmann;Kirsten;1964;SPD;44;Niedersachsen;10;2017
Luka;Patrick;1984;BGE;;Hessen;;2017
Lukat;Jürgen;1970;Die PARTEI;;Nordrhein-Westfalen;;2017
Luksic;Oliver;1979;FDP;298;Saarland;1;2017
Lund;Stephanie;1975;PIRATEN;;Baden-Württemberg;;2017
Luong;Quo-Chir;1987;EB: Luong 96; 96;;;2017
Luong;Quo-Chir;1987;MLPD;;Nordrhein-Westfalen;;2017
Lupart;Ulrich Willi;1951;AfD;166;;;2017
Lütkemeyer;Dietmar;1968;FDP;124;;;2017
Lutz;Robert;1988;PIRATEN;;Sachsen;;2017
Lutz;Christian;1987;Die PARTEI;;Bayern;;2017
Lutze;Thomas;1969;DIE LINKE;;Saarland;;2017
Lutze;Philipp Carl;1982;DM;;Niedersachsen;;2017
Lützkendorf;Kathleen;1977;GRÜNE;;Thüringen;;2017
Freiherr von Lützow;Daniel;1974;AfD;;Brandenburg;;2017
Maag;Karin;1962;CDU;259;;;2017
Maas;Heiko Josef;1966;SPD;297;Saarland;1;2017
Maas;André;1982;Die PARTEI;;Schleswig-Holstein;;2017
Mach;Simone;1968;V-Partei³;;Bayern;;2017
Mächerle;Henning;1968;DKP;173;Hessen;10;2017
Machts;Nick-Oliver;1969;NPD;67;;;2017
Mack;Günther;1949;FREIE WÄHLER;209;Rheinland-Pfalz;10;2017
Mack;Sybille;1964;SPD;264;Baden-Württemberg;35;2017
Mack;Karin;1949;DKP;;Berlin;;2017
Mack;Torsten;1967;Die PARTEI;64;;;2017
Mackensen;Isabel Larissa;1986;SPD;208;Rheinland-Pfalz;11;2017
Mackensen-Eder;Susanne;1962;CDU;;Niedersachsen;;2017
Mader;Tim;1994;DM;;Berlin;;2017
Madsen;Tine;1965;BGE;;Baden-Württemberg;;2017
Magel;Johannes;1951;DKP;;Niedersachsen;;2017
Magel;Willi Ludwig Hermann;1953;Die PARTEI;;Hessen;;2017
Magnitz;Frank Rüdiger Heinrich;1952;AfD;55;Bremen;1;2017
Magwas;Yvonne;1979;CDU;166;Sachsen;4;2017
Mahl;Michael;1960;BP;;Bayern;;2017
Mahlberg;Thomas;1965;CDU;115;Nordrhein-Westfalen;27;2017
Mähnert;Andrea Dave;1957;AfD;;Sachsen-Anhalt;;2017
Mahrla;Horst Kurt;1953;NPD;;Hamburg;;2017
Mährlein;Tobias;1959;FDP;8;Schleswig-Holstein;5;2017
Mai;Franz-Josef;1943;ÖDP;;Thüringen;;2017
Maier;Jens;1962;AfD;159;Sachsen;2;2017
Maier;Roland;1955;MLPD;270;Baden-Württemberg;11;2017
Prof. Dr. Maier;Lothar;1944;AfD;259;Baden-Württemberg;2;2017
Maier;Franz;1963;BüSo;212;Bayern;4;2017
Maier;Sabine;1967;CDU;;Baden-Württemberg;;2017
Maier;Katharina;1984;SPD;;Brandenburg;;2017
Maier;Christoph;1984;AfD;257;;;2017
Maier;Karl Wilhelm;1947;MLPD;268;;;2017
Maier;Konrad;1967;EB: Maier 150; 150;;;2017
Maier;Ludwig;1961;ÖDP;222;;;2017
Mainusch;Thomas Franz;1969;FREIE WÄHLER;237;Bayern;23;2017
Maisch;Dorothea;1963;CDU;;Baden-Württemberg;;2017
Dr. de Maizière;Thomas;1954;CDU;155;Sachsen;1;2017
Majunke;Ulrich;1977;FREIE WÄHLER;175;Hessen;12;2017
Makowski;Sylvia;1978;MENSCHLICHE WELT;294;Baden-Württemberg;1;2017
Malcherek;Martin;1973;DIE LINKE;205;;;2017
Dr. Malecha-Nissen;Birgit;1958;SPD;6;Schleswig-Holstein;10;2017
Malik;Adam;1974;Die PARTEI;;Niedersachsen;;2017
Malik;Abdul;1969;MLPD;;Berlin;;2017
Malisch;Jessica;1983;AfD;107;;;2017
Maller;Anton;1957;BP;230;;;2017
Malonda;Achan;1983;Die PARTEI;;Berlin;;2017
Malorny;Robert;1979;FDP;159;Sachsen;6;2017
Dr. Malsack-Winkemann;Birgit;1964;AfD;;Berlin;;2017
Manal;Klaus Wilhelm;1954;SPD;;Niedersachsen;;2017
Manderla;Gisela;1958;CDU;95;Nordrhein-Westfalen;14;2017
Mandic;Dubravko;1980;AfD;290;;;2017
Mang;Markus;1966;NPD;;Rheinland-Pfalz;;2017
Manika;Anne;1978;MLPD;;Baden-Württemberg;;2017
Manitzke;Katinka Sonja;1974;DKP;;Niedersachsen;;2017
Manke;Claudia;1970;CDU;;Baden-Württemberg;;2017
Dr. Mannes;Astrid;1967;CDU;186;Hessen;12;2017
Mannes;Gerd Michael;1969;AfD;;Bayern;;2017
Manninga;Harald Ewald;1963;Die PARTEI;;Niedersachsen;;2017
Manns;Ingrid;1983;CDU;;Hessen;;2017
Mannseicher;Stephan;1985;BP;217;;;2017
Manowski;Beatrice;1965;B*;;Berlin;;2017
Mansmann;Till Berthold;1968;FDP;188;Hessen;5;2017
Manz;Josef;1932;CDU;;Baden-Württemberg;;2017
Margic;Robin;1998;Tierschutzpartei;271;Baden-Württemberg;7;2017
Marinello;Karin Ursula;1951;MLPD;;Hessen;;2017
Marino-Haffner;Martin;1973;FREIE WÄHLER;275;Baden-Württemberg;5;2017
Markl-Vieto Estrada;Christa;1952;GRÜNE;;Berlin;;2017
Marks;Caren;1963;SPD;43;Niedersachsen;6;2017
Maronde;Florian;1989;DM;;Berlin;;2017
Marquardt;Erik;1987;GRÜNE;84;Berlin;6;2017
Marquardt;Clemens;1995;BGE;;Thüringen;;2017
Marquardt;Werner;1958;EB: Marquardt 267; 267;;;2017
Marquart;Hans;1953;MENSCHLICHE WELT;;Baden-Württemberg;;2017
Dr. Martens;Jürgen Andreas Michael;1959;FDP;165;Sachsen;2;2017
Martens;Frauke;1978;CDU;;Niedersachsen;;2017
Dr. Märtens;Gesine;1971;GRÜNE;;Sachsen;;2017
Martin;Dorothee Katja Julia;1978;SPD;21;Hamburg;3;2017
Martin;Dominik;1989;CDU;;Baden-Württemberg;;2017
Martin;Philipp Victor;1987;BGE;;Nordrhein-Westfalen;;2017
Martin;Eduard;1960;EB: Martin 267; 267;;;2017
Martin Martorell;Laura;1977;GRÜNE;;Rheinland-Pfalz;;2017
Martini;Tom;1970;Die PARTEI;;Berlin;;2017
Martiny;Sabine;1944;PIRATEN;137;Nordrhein-Westfalen;8;2017
Marvi;Parsa;1982;SPD;271;Baden-Württemberg;18;2017
von der Marwitz;Hans-Georg;1961;CDU;59;Brandenburg;9;2017
De Masi;Fabio Valeriano Lanfranco;1980;DIE LINKE;;Hamburg;;2017
Maßon;Norbert;1957;DIE LINKE;273;;;2017
Mast;Katja;1971;SPD;279;Baden-Württemberg;7;2017
Mast;Willi Alfred;1947;MLPD;;Nordrhein-Westfalen;;2017
Matern;Judith;1981;BGE;;Baden-Württemberg;;2017
Mateus;Julia;1984;Die PARTEI;;Hamburg;;2017
Matheis;Ralf;1969;EB: Matheis 289; 289;;;2017
Matschie;Christoph;1961;SPD;191;Thüringen;3;2017
Mattern;Sascha;1970;FREIE WÄHLER;89;Nordrhein-Westfalen;3;2017
Mattfeldt;Andreas;1969;CDU;34;Niedersachsen;20;2017
Mattheis;Hildegard;1954;SPD;291;Baden-Württemberg;5;2017
Matthes;Melanie;1987;DiB;;Baden-Württemberg;;2017
Mattis;Manfred Günther Ernst Leopold;1956;AfD;168;;;2017
Matulla;Daniel Alexander;1988;CSU;;Bayern;;2017
Matz;Miriam;1995;GRÜNE;73;Sachsen-Anhalt;5;2017
Matzerath;Michael;1946;DKP;;Baden-Württemberg;;2017
Matzerath;Markus;1970;AfD;88;;;2017
Matzoll;Jan;1985;GRÜNE;121;;;2017
Mauden;Roland;1964;GRÜNE;;Thüringen;;2017
Maurer;Roman;1966;FREIE WÄHLER;298;Saarland;4;2017
Maurer;Markus Andreas;1982;BP;;Bayern;;2017
Maurer;Wolfgang;1953;FREIE WÄHLER;280;;;2017
Mauson;Adrian Manuel;1992;EB: Mauson 74; 74;;;2017
Mauson;Adrian Manuel;1992;MLPD;;Sachsen-Anhalt;;2017
May;Michael Hans;1949;MLPD;;Nordrhein-Westfalen;;2017
May;Ilka;1973;EB: May 191; 191;;;2017
Mayer;Thomas;1979;PIRATEN;;Bayern;;2017
Mayer;Bruno;1964;EB: Mayer 271; 271;;;2017
Mayer;Stephan;1973;CSU;212;;;2017
Maygutiak;Taras;1973;AfD;284;;;2017
Mayr;Angela;1968;FREIE WÄHLER;216;Bayern;43;2017
McFadden;Tobias;1974;PIRATEN;224;;;2017
Mebus;Gernot;1960;MLPD;;Rheinland-Pfalz;;2017
Mecke;Ina;1986;Die PARTEI;290;;;2017
Medau;Marvin Mel;1989;Tierschutzpartei;;Mecklenburg-Vorpommern;;2017
Mederlet;Frank;1959;SPD;;Nordrhein-Westfalen;;2017
Meffert;Hildegard;1958;BüSo;;Berlin;;2017
Mehltretter;Andreas;1991;SPD;214;Bayern;40;2017
Mehrtens;Lutz;1975;FREIE WÄHLER;29;;;2017
Meidl;Lothar Konrad;1960;DM;;Bayern;;2017
Meier;Roland;1964;DIE LINKE;216;Bayern;20;2017
Meier;Marco;1993;FREIE WÄHLER;241;Bayern;6;2017
Meier;Karl;1955;FREIE WÄHLER;235;Bayern;17;2017
Meier;Ronny;1977;BGE;;Sachsen-Anhalt;;2017
Meier;Stephan;1991;CSU;;Bayern;;2017
Meier;Reiner;1953;CSU;;Bayern;;2017
Meier;Ronny;1978;EB: Meier 63; 63;;;2017
Meier;Jonathan;1994;EB: Meier 146; 146;;;2017
Meiers;Ute;1963;SPD;92;Nordrhein-Westfalen;26;2017
Meincke;Daniel;1991;FREIE WÄHLER;19;;;2017
Meinel;Klaus;1949;DKP;;Berlin;;2017
Meinen;Antje;1965;V-Partei³;;Bayern;;2017
Meiners;Danny;1979;AfD;31;Niedersachsen;24;2017
Meiners;Stefan;1977;GRÜNE;113;;;2017
Meinhardt;August Albert;1961;BGE;;Nordrhein-Westfalen;;2017
Meinhardt;Patrick;1966;FDP;15;;;2017
Meinhardt-Heib;Alexander;1971;SPD;195;Thüringen;9;2017
Meisberger;Dennis;1988;CDU;;Saarland;;2017
Meise;Ariane;1960;NPD;;Nordrhein-Westfalen;;2017
Meisel;Moritz Jonathan;1988;BGE;;Bayern;;2017
Meiser;Pascal;1975;DIE LINKE;83;Berlin;4;2017
Meiser-Lill;Margit;1967;V-Partei³;;Baden-Württemberg;;2017
Dr. Meiski;Georg;1963;FREIE WÄHLER;227;Bayern;9;2017
Meißner;Wilfried Kurt Albin;1957;EB: Meißner 195; 195;;;2017
Meist;Hannes Ernst Georg;1965;DKP;;Bayern;;2017
Dr. Meister;Michael Günther;1961;CDU;188;Hessen;2;2017
Meister;Roland Matthäus;1953;MLPD;;Nordrhein-Westfalen;;2017
Meister;Michael;1963;AfD;;Bayern;;2017
Meiwald;Peter;1966;GRÜNE;27;Niedersachsen;8;2017
Mekiffer;Stefan André;1988;BGE;;Berlin;;2017
Mellin;Klaus;1952;Volksabstimmung;;Nordrhein-Westfalen;;2017
Memedi;Nadije;1982;DIE LINKE;29;;;2017
Mende;Dirk-Ulrich August Heinrich;1957;SPD;;Niedersachsen;;2017
Mendelsohn;Peter;1972;Die PARTEI;;Baden-Württemberg;;2017
Mendorf;Gabriele;1954;V-Partei³;;Niedersachsen;;2017
Dr. Mendorf;Alexander;1984;V-Partei³;;Niedersachsen;;2017
Meneses;Victoria;1987;BGE;;Berlin;;2017
Meneses;Monique;1984;BGE;;Sachsen;;2017
Menga Nsibu;Serge;1977;EB: Menga Nsibu 120; 120;;;2017
Menge;Volker;1962;PIRATEN;;Bremen;;2017
Menz;Birgit;1962;DIE LINKE;;Bremen;;2017
Meral;Mehmet Ali;1988;MLPD;;Hessen;;2017
Merfort;Claas;1984;CDU;;Niedersachsen;;2017
Merk;Franz Xaver;1953;DIE LINKE;256;;;2017
Dr. Merkel;Angela Dorothea;1954;CDU;15;Mecklenburg-Vorpommern;1;2017
Merkel;Gregor;1981;FDP;;Rheinland-Pfalz;;2017
Merkel;Christoph Tarek;1987;AfD;25;;;2017
Merkens;Sebastian;1980;DIE LINKE;109;;;2017
Merker;Isabelle;1988;SPD;;Rheinland-Pfalz;;2017
Merle;Marcel;1984;BGE;;Berlin;;2017
Dr. Mertel;Robert;1940;EB: Mertel 220; 220;;;2017
Merten;Reinhold;1957;FREIE WÄHLER;;Rheinland-Pfalz;;2017
Mertens;Ansgar Wilhelm;1977;CDU;;Nordrhein-Westfalen;;2017
Mertes;Rosarina Ruthilde;1965;SPD;;Saarland;;2017
Mertsch;Benjamin;1989;NPD;;Brandenburg;;2017
Meßmer;Eduard;1956;FREIE WÄHLER;273;;;2017
