name;kurzbezeichnung;zusatzbezeichnung;isEinzelbewerber;jahr
Röhder;EB: Röhder;;True;2021
Saygili;EB: Saygili;;True;2021
Schmitt Wiesloch;EB: Schmitt;;True;2021
Seelenwärmer;EB: Przybylski;;True;2021
Sören Krüger;EB: Krüger;;True;2021
"Stimme für Freiheitlichkeit; Bürgerlichkeit und menschliche Identität";EB: Kaldewei;;True;2021
Stimme gegen Fraktionszwang;EB: Knott;;True;2021
Südpfalz - stellt Fragen!;EB: Vogler;;True;2021
Teßmann;EB: Teßmann;;True;2021
"Transparent; Nah am Bürger; Treu den Wählern";TNT;;True;2021
Unabhängiger Direktkandidat / Nikolaus Gradl;EB: Gradl;;True;2021
Unabhängig! Für Dich. Für Uns. Für Alle.;#TeamFranka;;True;2021
Unabhängig und FREI;EB: Herrmann;;True;2021
UN-Menschenrecht auf Frieden;EB: Wassenaar;;True;2021
UNO - Menschenrecht - FRIEDEN für Alle;EB: Häupl;;True;2021
Unparteilich;EB: Schürer;;True;2021
"Unsere Zukunftsperspektive für Digitalisierung; Bildung und Umwelt";EB: Trojanowski;;True;2021
Vereinigte Direktkandidaten;EB: Hilz;;True;2021
Vereinigte Direktkandidaten;EB: Langhans;;True;2021
Volk ins Parlament - VIP;EB: Ressdorf;;True;2021
Wadenbeißer;EB: Ringger;;True;2021
Wahlrechtsreform;EB: Krämer;;True;2021
Weich - parteilos;EB: Weich;;True;2021
Werner Hartmann;EB: Hartmann;;True;2021
Wir - alle gemeinsam;EB: Müller;;True;2021
Wir! Gemeinsam stark;EB: Tropp;;True;2021
Wir haben eine Welt zu verlieren;EB: El-Fayoumy;;True;2021
"Wirklich besser regieren; für unser Land und für unsere Zukunft.";EB: Eckelmann;;True;2021
WIR sind LEIPZIGER;EB: Kohl;;True;2021
Wirtschaftlich-Ökologisch-Familienfreundlich;EB: Schütz;;True;2021
Wotan Engels;EB: Engels;;True;2021
www.weltrettung-durch-therapie.de;EB: Fielsch;;True;2021
www.zeitkaufhaus.de Martin Bayer;EB: Bayer;;True;2021
"Zebian; Ayman";EB: Zebian;;True;2021
Zeitgemäße Demokratie mit Politik auf Augenhöhe;EB: Lembach;;True;2021
Zeit zählt!;EB: Bunte;;True;2021
ZUKUNFT;EB: Hinners;;True;2021
Übrige;Übrige;;False;2021
