Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Steffen;Beckmann;1978;AfD;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Schwerin;Geschäftsführer;2021
Ina;Latendorf;1971;DIE LINKE;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Plate;Juristin;2021
Reem;Alabali-Radovan;1990;SPD;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Schwerin;Integrationsbeauftragte;2021
Yannik;Meffert;1995;FDP;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Schwerin;wiss. Mitarbeiter;2021
Claudia;Tamm;1968;GRÜNE;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Wismar;Krankenschwester;2021
Alrik;Stoffers;1990;Die PARTEI;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;Dr.;;Schwerin;Chemiker;2021
Anja;Klähn;1982;FREIE WÄHLER;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Schwerin;Betriebswirtin;2021
Bert;Beckmann;1958;MLPD;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Schwerin;Elektriker;2021
Fritz Wolfgang Eberhard;Gericke;1949;dieBasis;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Grevesmühlen;selbstständig, Dipl.-Ingenieur;2021
Karsten Erich Theodor;Jagau;1956;PIRATEN;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Schwerin;Pflegelehrer;2021
Simone;Borchardt;1967;CDU;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;;;Warnow;Geschäftsbereichsleiterin Pflege;2021
Andreas-Michael;Mrachacz;1953;AfD;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;;;Lübow;Dipl.-Mediziner, Facharzt Pathologie;2021
Judith;Keller;1964;DIE LINKE;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;;;Roggendorf;Schulsozialarbeiterin;2021
Frank Michael;Junge;1967;SPD;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;;;Wismar;MdB, Dipl.-Sportlehrer;2021
Daniel;Bohl;1972;FDP;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;;;Jesendorf;Dipl.-Ing. agr. Landwirt;2021
Martin;Mölau;1987;GRÜNE;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;;;Hornstorf;Industriekaufmann;2021
Torsten;Neitzel;1966;FREIE WÄHLER;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;;;Schorssow;Tischler;2021
Stephanie Gisela Rosa;Zajonc;1978;dieBasis;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;;;Bad Doberan;Sekretärin;2021
Rainer;Löwe;1953;EB: Löwe;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;Dr.;;Wismar;Arzt;2021
Peter;Stein;1968;CDU;Rostock – Landkreis Rostock II;-1;-1;;;Mönchhagen;Mitglied des Deutschen Bundestages;2021
Tobias;Pontow;1987;AfD;Rostock – Landkreis Rostock II;-1;-1;;;Parchim;Betriebswirt, Referent;2021
Dietmar Gerhard;Bartsch;1958;DIE LINKE;Rostock – Landkreis Rostock II;-1;-1;Dr.;;Prerow;Mitglied des Deutschen Bundestages;2021
Katrin;Zschau;1976;SPD;Rostock – Landkreis Rostock II;-1;-1;;;Rostock;Landesgeschäftsführerin;2021
Hagen;Reinhold;1978;FDP;Rostock – Landkreis Rostock II;-1;-1;;;Barth;Maurer- und Betonbaumeister;2021
Andreas;Tesche;1958;GRÜNE;Rostock – Landkreis Rostock II;-1;-1;;;Rostock;Regierungsdirektor;2021
Seraphine Antonia;Jörn;2001;Tierschutzpartei;Rostock – Landkreis Rostock II;-1;-1;;;Rostock;Schülerin;2021
Christine;Dubberke;1980;FREIE WÄHLER;Rostock – Landkreis Rostock II;-1;-1;;;Lambrechtshagen;kaufm. Angestellte;2021
Eric;Dunst;1995;MLPD;Rostock – Landkreis Rostock II;-1;-1;;;Rostock;Gesundheits- und Krankenpfleger;2021
Susanne Franziska Gertrud;Kreft;1964;dieBasis;Rostock – Landkreis Rostock II;-1;-1;Dr.;;Rostock;Ärztin;2021
Jan-Peter;Rühmann;1967;PIRATEN;Rostock – Landkreis Rostock II;-1;-1;;;Cammin;PC-Servicetechniker;2021
Georg;Günther;1988;CDU;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Süderholz;Dipl.-Finanzwirt (FH);2021
Leif-Erik;Holm;1970;AfD;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Schwerin;Ökonom (M. Sc.), Journalist;2021
Kerstin;Kassner;1958;DIE LINKE;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Bergen auf Rügen;Dipl.-Ökonomin;2021
Anna Katharina;Kassautzki;1993;SPD;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Greifswald;Leiterin Familienservice;2021
Sebastian;Adler;1984;FDP;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Greifswald;Bankkaufmann;2021
Claudia Heike;Müller;1981;GRÜNE;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Fuhlendorf;Betriebswirtin;2021
Robert;Gabel;1979;Tierschutzpartei;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Greifswald;Politikwissenschaftler;2021
Mark Peter;Pistor;1973;Die PARTEI;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Greifswald;Rechtsanwalt;2021
Heidelind;Holthusen;1949;FREIE WÄHLER;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Goldberg;Bildungsbegleiterin;2021
Karl-Heinz;Schulze;1955;MLPD;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;;;Sassnitz;Gärtner;2021
