Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;Listenplatz;jahr
Arne;Schönfelder;1970;Die PARTEI;-1;Schleswig-Holstein;8;2021
Ines;Liedtke;1982;Die PARTEI;-1;Schleswig-Holstein;9;2021
David;Hoeftmann;1976;Die PARTEI;-1;Schleswig-Holstein;10;2021
Joy-Phyllis;Kaletsch;2003;Die PARTEI;-1;Schleswig-Holstein;11;2021
Yorik Timo;Hansen;2002;Die PARTEI;-1;Schleswig-Holstein;12;2021
Alexandra;Richter;1974;Die PARTEI;-1;Schleswig-Holstein;13;2021
Michael;Grenz;1973;Die PARTEI;-1;Schleswig-Holstein;14;2021
Patricia;Soares;2003;Die PARTEI;-1;Schleswig-Holstein;15;2021
Maria-Lena;Zeplin;1997;Die PARTEI;-1;Schleswig-Holstein;16;2021
Vivien;Rotenberger;2001;Die PARTEI;-1;Schleswig-Holstein;17;2021
Nils-Hermann;Saul;1980;Die PARTEI;-1;Schleswig-Holstein;18;2021
Ove Joachim;Schröter;1967;Die PARTEI;-1;Schleswig-Holstein;19;2021
Nanke Therese;Salto;1994;Die PARTEI;-1;Schleswig-Holstein;20;2021
Pablo;Wittrock;1984;Die PARTEI;-1;Schleswig-Holstein;21;2021
Jens;Wemhöner;1994;Die PARTEI;-1;Schleswig-Holstein;22;2021
Noah;Peeters;1999;Die PARTEI;-1;Schleswig-Holstein;23;2021
Nils-Henrik;Köhler;1991;Die PARTEI;-1;Schleswig-Holstein;24;2021
Sascha;Wienck;1980;Die PARTEI;-1;Schleswig-Holstein;25;2021
Frauke;Koch;1961;Die PARTEI;-1;Schleswig-Holstein;26;2021
Mirko;Rohde;1996;Die PARTEI;-1;Schleswig-Holstein;27;2021
Gregor;Voht;1990;FREIE WÄHLER;-1;Schleswig-Holstein;1;2021
Julia;Glagau;1983;FREIE WÄHLER;-1;Schleswig-Holstein;2;2021
David Frederic;Gutzeit;2001;FREIE WÄHLER;-1;Schleswig-Holstein;3;2021
Traymont;Wilhelmi;1992;FREIE WÄHLER;-1;Schleswig-Holstein;4;2021
Kathrin;Arbeck;1969;FREIE WÄHLER;-1;Schleswig-Holstein;5;2021
Andreas;Rothgaenger;1973;FREIE WÄHLER;-1;Schleswig-Holstein;6;2021
Melanie;Görtz;1979;FREIE WÄHLER;-1;Schleswig-Holstein;7;2021
Johanna Ursula;Meißner;1961;FREIE WÄHLER;-1;Schleswig-Holstein;8;2021
Katja;Thedens;1965;FREIE WÄHLER;-1;Schleswig-Holstein;9;2021
Mark;Proch;1965;NPD;-1;Schleswig-Holstein;1;2021
Karin Christine;Mundt;1973;NPD;-1;Schleswig-Holstein;2;2021
Wolfgang;Schimmel;1962;NPD;-1;Schleswig-Holstein;3;2021
Michael;Hannemann;1981;NPD;-1;Schleswig-Holstein;4;2021
Thomas;Weber;1969;ÖDP;-1;Schleswig-Holstein;1;2021
Volker;Behrendt;1967;ÖDP;-1;Schleswig-Holstein;2;2021
Andreas Günter;Wilk;1962;ÖDP;-1;Schleswig-Holstein;3;2021
Michael;Möller;1974;ÖDP;-1;Schleswig-Holstein;4;2021
Hubert;Ohlendorf;1953;ÖDP;-1;Schleswig-Holstein;5;2021
Maria;Meyer;1954;MLPD;-1;Schleswig-Holstein;1;2021
Lüder Paul Wilhelm;Möller;1949;MLPD;-1;Schleswig-Holstein;2;2021
Karin;Zan Bi;1958;MLPD;-1;Schleswig-Holstein;3;2021
Hans-Joachim;Paulsen;1958;MLPD;-1;Schleswig-Holstein;4;2021
Monika;Losch;1950;MLPD;-1;Schleswig-Holstein;5;2021
David Claudio;Siber;1988;dieBasis;-1;Schleswig-Holstein;1;2021
Holger;Thiesen;1954;dieBasis;-1;Schleswig-Holstein;2;2021
Hanna Louise;Kröger;1980;dieBasis;-1;Schleswig-Holstein;3;2021
Uwe Helmut;Fleischer;1967;dieBasis;-1;Schleswig-Holstein;4;2021
Mudimu;Opayi;1971;dieBasis;-1;Schleswig-Holstein;5;2021
Lilly Gerlinde;König;1969;dieBasis;-1;Schleswig-Holstein;6;2021
Björn;Michel;1974;dieBasis;-1;Schleswig-Holstein;7;2021
Michael;Metzig;1964;dieBasis;-1;Schleswig-Holstein;8;2021
Andre Horst;Kerpers;1964;dieBasis;-1;Schleswig-Holstein;9;2021
Sandor;Stolz;1966;dieBasis;-1;Schleswig-Holstein;10;2021
Ralf Armin Klaus;Fiedler;1966;dieBasis;-1;Schleswig-Holstein;11;2021
Bernd;Goldbogen;1966;dieBasis;-1;Schleswig-Holstein;12;2021
Barbara Kristine;Müller;1958;DKP;-1;Schleswig-Holstein;1;2021
Friedrich;Gentzsch;1938;DKP;-1;Schleswig-Holstein;2;2021
Birgit;Gentzsch;1944;DKP;-1;Schleswig-Holstein;3;2021
Hans-Jürgen;Hoyen;1952;DKP;-1;Schleswig-Holstein;4;2021
Kirsten Silke;Kastelik;1961;DKP;-1;Schleswig-Holstein;5;2021
Wilfried Emil;Link;1944;DKP;-1;Schleswig-Holstein;6;2021
Peter Johannes;Schlüter;1955;DKP;-1;Schleswig-Holstein;7;2021
Ibrahim;Al-Wattar;1982;du.;-1;Schleswig-Holstein;1;2021
Paula Bianka;Abramik;1996;du.;-1;Schleswig-Holstein;2;2021
Dariush;Keshavarz Khorasgani;1994;du.;-1;Schleswig-Holstein;3;2021
Jürgen;Joost;1956;LKR;-1;Schleswig-Holstein;1;2021
Uwe Hermann;Christiansen;1961;LKR;-1;Schleswig-Holstein;2;2021
Christopher;Hähne;1968;LKR;-1;Schleswig-Holstein;3;2021
Jannik;Alster;1998;LKR;-1;Schleswig-Holstein;4;2021
Falko;Vehling;1985;LKR;-1;Schleswig-Holstein;5;2021
Rainer;Urban;1942;LKR;-1;Schleswig-Holstein;6;2021
Sabine;Stephan;1967;LKR;-1;Schleswig-Holstein;7;2021
Axel;Frey;1984;LKR;-1;Schleswig-Holstein;8;2021
Frank Andreas;Brodehl;1971;LKR;-1;Schleswig-Holstein;9;2021
Siegfried;Lutz;1947;LKR;-1;Schleswig-Holstein;10;2021
Marvin;Weidemeier;1999;Die Humanisten;-1;Schleswig-Holstein;1;2021
Martin;Richter;1988;Die Humanisten;-1;Schleswig-Holstein;2;2021
Philipp Helmut;Beye;1988;Die Humanisten;-1;Schleswig-Holstein;3;2021
Sarah;Pleuger;1988;Die Humanisten;-1;Schleswig-Holstein;4;2021
Martin;Kruse;1984;Die Humanisten;-1;Schleswig-Holstein;5;2021
Merlin;Wehde;1999;Die Humanisten;-1;Schleswig-Holstein;6;2021
Olaf Joachim;Zeuch;1964;Tierschutzpartei;-1;Schleswig-Holstein;1;2021
Hans Thomas;Mumm;1966;Tierschutzpartei;-1;Schleswig-Holstein;2;2021
Michael;Thienel;1987;Tierschutzpartei;-1;Schleswig-Holstein;3;2021
Adnan;Muhu;1986;Tierschutzpartei;-1;Schleswig-Holstein;4;2021
Petra;Enguchu;1958;Tierschutzpartei;-1;Schleswig-Holstein;5;2021
Janine;Bahr-van Gemmert;1967;Tierschutzpartei;-1;Schleswig-Holstein;6;2021
Befrin;Muhu;1995;Tierschutzpartei;-1;Schleswig-Holstein;7;2021
Timo;Ladewig;1997;Tierschutzpartei;-1;Schleswig-Holstein;8;2021
Anna Katharina;Hampf;1951;Tierschutzpartei;-1;Schleswig-Holstein;9;2021
Stefan;Seidler;1979;SSW;-1;Schleswig-Holstein;1;2021
Maylis;Roßberg;2000;SSW;-1;Schleswig-Holstein;2;2021
Sybilla Lena;Nitsch;1980;SSW;-1;Schleswig-Holstein;3;2021
Rainer;Bosse;1961;SSW;-1;Schleswig-Holstein;4;2021
Ilse Johanna;Christiansen;1954;SSW;-1;Schleswig-Holstein;5;2021
Frank Marcel;Schmidt;1964;SSW;-1;Schleswig-Holstein;6;2021
Claudia;Edmund;1959;SSW;-1;Schleswig-Holstein;7;2021
Thiemo;Koch;1965;SSW;-1;Schleswig-Holstein;8;2021
Merit Meta;Meyer;2002;SSW;-1;Schleswig-Holstein;9;2021
Keno Johannsen;Jaspers;1974;SSW;-1;Schleswig-Holstein;10;2021
Chantal Angelika;Jehle;2003;SSW;-1;Schleswig-Holstein;11;2021
Tjark Matthis;Jessen;1998;SSW;-1;Schleswig-Holstein;12;2021
Susanna;Swoboda;1966;SSW;-1;Schleswig-Holstein;13;2021
Mats Lukas;Rosenbaum;2000;SSW;-1;Schleswig-Holstein;14;2021
Amina;Zink;2001;Team Todenhöfer;-1;Schleswig-Holstein;1;2021
Sebastian;Knaack;1981;Team Todenhöfer;-1;Schleswig-Holstein;2;2021
Cengiz;Altay;1986;Team Todenhöfer;-1;Schleswig-Holstein;3;2021
Helge;Eggert;1949;Team Todenhöfer;-1;Schleswig-Holstein;4;2021
Uwe;Kolli;1967;Team Todenhöfer;-1;Schleswig-Holstein;5;2021
Katharina Marie;Waeger;1997;Volt;-1;Schleswig-Holstein;1;2021
Simon Martin;Wadehn;1999;Volt;-1;Schleswig-Holstein;2;2021
Nele;Blum;1995;Volt;-1;Schleswig-Holstein;3;2021
Fabio;Sánchez Copano;1996;Volt;-1;Schleswig-Holstein;4;2021
Kira Lynn;Larsen;1999;Volt;-1;Schleswig-Holstein;5;2021
Ruben Merlin;Hill;1993;Volt;-1;Schleswig-Holstein;6;2021
Lea;Barckhan;2002;Volt;-1;Schleswig-Holstein;7;2021
Tim;Thomsen;1993;Volt;-1;Schleswig-Holstein;8;2021
Robert;Pilgrim;1987;V-Partei³;-1;Schleswig-Holstein;1;2021
Bettina;Gerteis;1974;V-Partei³;-1;Schleswig-Holstein;2;2021
Tatjana;Beutel;1973;V-Partei³;-1;Schleswig-Holstein;3;2021
Gabriele;Seibler;1955;V-Partei³;-1;Schleswig-Holstein;4;2021
Christoph Johannes;Ploß;1985;CDU;-1;Hamburg;1;2021
Franziska Christina Brigitte;Hoppermann;1982;CDU;-1;Hamburg;2;2021
Christoph Bernhard;Vries;1974;CDU;-1;Hamburg;3;2021
Rüdiger;Kruse;1961;CDU;-1;Hamburg;4;2021
Anke;Frieling;1962;CDU;-1;Hamburg;5;2021
Uwe Günther;Schneider;1975;CDU;-1;Hamburg;6;2021
Dennis;Gladiator;1981;CDU;-1;Hamburg;7;2021
Herlind Magdalena;Gundelach;1949;CDU;-1;Hamburg;8;2021
Birgit;Stöver;1970;CDU;-1;Hamburg;9;2021
Katharina Anna;Schuwalski;1987;CDU;-1;Hamburg;10;2021
Antonia-Katharina;Goldner;1981;CDU;-1;Hamburg;11;2021
Ali Ertan;Toprak;1969;CDU;-1;Hamburg;12;2021
Sybille Emma Johanna;Möller-Fiedler;1960;CDU;-1;Hamburg;13;2021
Saliha Aydan;Özoğuz;1967;SPD;-1;Hamburg;1;2021
Niels;Annen;1973;SPD;-1;Hamburg;2;2021
Dorothee Katja Julia;Martin;1978;SPD;-1;Hamburg;3;2021
Matthias;Bartke;1959;SPD;-1;Hamburg;4;2021
Ronja Maria Magdalena;Schmager;1989;SPD;-1;Hamburg;5;2021
Metin;Hakverdi;1969;SPD;-1;Hamburg;6;2021
Meryem Dagmar;Celikkol;1969;SPD;-1;Hamburg;7;2021
Christian Hinrich Gottfried;Bernzen;1962;SPD;-1;Hamburg;8;2021
Dafina;Berisha;2000;SPD;-1;Hamburg;9;2021
Carsten Holger;Gerloff;1972;SPD;-1;Hamburg;10;2021
Anja Magdalena;Quast;1971;SPD;-1;Hamburg;11;2021
Gabriele;Dobusch;1958;SPD;-1;Hamburg;12;2021
Katharina Barbara Maria;Beck;1982;GRÜNE;-1;Hamburg;1;2021
Till Benjamin;Steffen;1973;GRÜNE;-1;Hamburg;2;2021
Emilia Johanna;Fester;1998;GRÜNE;-1;Hamburg;3;2021
Manuel Ferdinand Theodor;Sarrazin;1982;GRÜNE;-1;Hamburg;4;2021
Linda;Heitmann;1982;GRÜNE;-1;Hamburg;5;2021
Manuel;Muja;1991;GRÜNE;-1;Hamburg;6;2021
Phyliss Hatice;Demirel;1964;GRÜNE;-1;Hamburg;7;2021
Katja;Husen;1976;GRÜNE;-1;Hamburg;8;2021
Christa;Möller-Metzger;1951;GRÜNE;-1;Hamburg;9;2021
Michael;Gwosdz;1974;GRÜNE;-1;Hamburg;10;2021
Sonja;Lattwesen;1975;GRÜNE;-1;Hamburg;11;2021
Clara;Goldmann;1975;GRÜNE;-1;Hamburg;12;2021
Zaklin Jadwiga;Nastić;1980;DIE LINKE;-1;Hamburg;1;2021
Deniz;Celik;1978;DIE LINKE;-1;Hamburg;2;2021
Nuran;Sarica;1955;DIE LINKE;-1;Hamburg;3;2021
Johan;Graßhoff;1988;DIE LINKE;-1;Hamburg;4;2021
Wiebke;Haßelbusch;1995;DIE LINKE;-1;Hamburg;5;2021
Michael;Kruse;1983;FDP;-1;Hamburg;1;2021
Ria Irmtraut Claudia;Schröder;1992;FDP;-1;Hamburg;2;2021
Andreas;Moring;1978;FDP;-1;Hamburg;3;2021
Cetin;Akbulut;1972;FDP;-1;Hamburg;4;2021
Robert;Bläsing;1982;FDP;-1;Hamburg;5;2021
Carolin Rebecca;Hümpel;1964;FDP;-1;Hamburg;6;2021
James Robert;Blum;1970;FDP;-1;Hamburg;7;2021
Magnus;Mayer;1999;FDP;-1;Hamburg;8;2021
Barnabas Philip;Crocker;1981;FDP;-1;Hamburg;9;2021
Jutta;Krümmer;1961;FDP;-1;Hamburg;10;2021
Bernd;Baumann;1958;AfD;-1;Hamburg;1;2021
Olga;Petersen;1982;AfD;-1;Hamburg;2;2021
Nicole;Jordan;1974;AfD;-1;Hamburg;3;2021
Dietmar Werner;Wagner;1952;AfD;-1;Hamburg;4;2021
Benjamin;Mennerich;1981;AfD;-1;Hamburg;5;2021
Arne Gotthard;Ihlenfeld;1978;Die PARTEI;-1;Hamburg;1;2021
Arian;Shaghaghi Zadeh;2000;Die PARTEI;-1;Hamburg;2;2021
Niklas Thiemo;Berger;1983;Die PARTEI;-1;Hamburg;3;2021
Katharina Luise Lotti;Denker;1985;Die PARTEI;-1;Hamburg;4;2021
Samantha;Edsen;1991;Die PARTEI;-1;Hamburg;5;2021
Benjamin;Kupsa;1985;Die PARTEI;-1;Hamburg;6;2021
Marc;Beichmann;1981;Die PARTEI;-1;Hamburg;7;2021
Carsten Wilhelm;Germer;1970;Die PARTEI;-1;Hamburg;8;2021
Franzisca Anita Helena Theresia;Heiss;1991;Tierschutzpartei;-1;Hamburg;1;2021
Sven;Pfannkuche;1976;Tierschutzpartei;-1;Hamburg;2;2021
Ulrike;Lochau;1985;Tierschutzpartei;-1;Hamburg;3;2021
Enrico;Zienke;1978;Tierschutzpartei;-1;Hamburg;4;2021
Jörg;Steinfeldt;1962;Tierschutzpartei;-1;Hamburg;5;2021
Oktay;Mutlu;1977;Tierschutzpartei;-1;Hamburg;6;2021
Christian;Walbe;1967;FREIE WÄHLER;-1;Hamburg;1;2021
Thomas;Lindner;1974;FREIE WÄHLER;-1;Hamburg;2;2021
Almut;Becker;1970;FREIE WÄHLER;-1;Hamburg;3;2021
Nick;Bretschneider;1997;FREIE WÄHLER;-1;Hamburg;4;2021
Ralf;Reimer;1963;FREIE WÄHLER;-1;Hamburg;5;2021
Daniel;Meincke;1991;FREIE WÄHLER;-1;Hamburg;6;2021
Michael;Kirchhoff;1973;FREIE WÄHLER;-1;Hamburg;7;2021
Hartmut Michael;Wagner;1955;FREIE WÄHLER;-1;Hamburg;8;2021
Kerstin Michaela;Steinke;1971;FREIE WÄHLER;-1;Hamburg;9;2021
Hannes;Lincke;1980;ÖDP;-1;Hamburg;1;2021
Karlotta;Ahrens;1987;ÖDP;-1;Hamburg;2;2021
Benjamin;Krohn;1979;ÖDP;-1;Hamburg;3;2021
Manuela;Körlin;1979;ÖDP;-1;Hamburg;4;2021
Sebastian;Bollien;1985;ÖDP;-1;Hamburg;5;2021
Sophia;Ahlswede;1998;ÖDP;-1;Hamburg;6;2021
Johannes Heinrich;Pawlick;1984;ÖDP;-1;Hamburg;7;2021
Matthias;Deutsch;1965;ÖDP;-1;Hamburg;8;2021
Daniela Karin;Schattmann;1982;ÖDP;-1;Hamburg;9;2021
Milan;Matthes;1994;ÖDP;-1;Hamburg;10;2021
Alexander;Witte;1978;ÖDP;-1;Hamburg;11;2021
Klaus-Christian Norbert;Becker;1942;ÖDP;-1;Hamburg;12;2021
Sönke;Kraiser;1966;ÖDP;-1;Hamburg;13;2021
Jane Daniela;Hansen;1975;V-Partei³;-1;Hamburg;1;2021
Wiebke Dorothea;Voß;1979;V-Partei³;-1;Hamburg;2;2021
Torsten Wolfgang;Bücker;1970;V-Partei³;-1;Hamburg;3;2021
Sabrina;Gluch;1980;V-Partei³;-1;Hamburg;4;2021
Stefan;Gollnow;1982;V-Partei³;-1;Hamburg;5;2021
Inga;Gollnow;1988;V-Partei³;-1;Hamburg;6;2021
Pauline Maja;Kanthah;2003;V-Partei³;-1;Hamburg;7;2021
Lennart Sebastian Stefan;Schwarzbach;1990;NPD;-1;Hamburg;1;2021
Helmut;Saß;1958;NPD;-1;Hamburg;2;2021
Jan;Zimmermann;1977;NPD;-1;Hamburg;3;2021
Christa;Lemke;1965;NPD;-1;Hamburg;4;2021
Helmut;Walter;1952;NPD;-1;Hamburg;5;2021
Uwe Ulrich;Wagner;1959;MLPD;-1;Hamburg;1;2021
Narziss;Nianur;1964;MLPD;-1;Hamburg;2;2021
Joachim Robert Maria;Griesbaum;1955;MLPD;-1;Hamburg;3;2021
Renate Inge-Marie;Dohrn;1954;MLPD;-1;Hamburg;4;2021
Najia;Afshari;1968;MLPD;-1;Hamburg;5;2021
Christian Traugott;Kölle;1952;MLPD;-1;Hamburg;6;2021
Elke Anja Thea;Onken;1964;MLPD;-1;Hamburg;7;2021
Franziska;Baldes;1969;MLPD;-1;Hamburg;8;2021
Michael Karl;Brüning;1959;MLPD;-1;Hamburg;9;2021
Stephan;Brandt;1943;MLPD;-1;Hamburg;10;2021
Rita Maria;Giermann;1941;MLPD;-1;Hamburg;11;2021
Dirk;Wilke;1961;DKP;-1;Hamburg;1;2021
Nils Magnus;Hansen;1977;DKP;-1;Hamburg;2;2021
Olaf;Harms;1961;DKP;-1;Hamburg;3;2021
Kai Peter;Lüdders;1977;dieBasis;-1;Hamburg;1;2021
Katja;Schäfer;1969;dieBasis;-1;Hamburg;2;2021
Inke;Meyer;1981;dieBasis;-1;Hamburg;3;2021
André;Malitzki;1971;dieBasis;-1;Hamburg;4;2021
Marcel;Reinberg;1977;dieBasis;-1;Hamburg;5;2021
Hayo;Schürmann;1978;dieBasis;-1;Hamburg;6;2021
Walter;Weber;1944;BÜNDNIS21;-1;Hamburg;1;2021
Anja;Zarwel;1983;BÜNDNIS21;-1;Hamburg;2;2021
Michaela Laura;Baltrusch;1959;BÜNDNIS21;-1;Hamburg;3;2021
