Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;jahr
Karl-Heinz;Schulze;1955;MLPD;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Sylvio;Schmeller;1976;dieBasis;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Friedrich;Smyra;1984;PIRATEN;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Philipp;Amthor;1992;CDU;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Enrico;Komning;1968;AfD;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Toni;Jaschinski;1982;DIE LINKE;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Erik;Malottki;1986;SPD;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Christian;Bartelt;1976;FDP;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Katharina;Horn;1998;GRÜNE;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Anja;Hübner;1989;Tierschutzpartei;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Matthias;Andiel;1958;FREIE WÄHLER;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Wolfgang;Wodarg;1947;dieBasis;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Sören;Krüger;2001;EB: Krüger;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Sophie;Maus;1985;UNABHÄNGIGE;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;-1;-1;2021
Stephan;Bunge;1980;CDU;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;2021
Ulrike;Schielke-Ziesing;1969;AfD;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;2021
Amina Inèz;Kanew;1998;DIE LINKE;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;2021
Johannes;Arlt;1984;SPD;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;2021
Tobias;Schubert;1987;FDP;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;2021
Falk;Jagszent;1976;GRÜNE;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;2021
Klaus-Dieter;Gabbert;1959;FREIE WÄHLER;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;2021
Lena;Goltz;1980;MLPD;Mecklenburgische Seenplatte II – Landkreis Rostock III;-1;-1;2021
Christoph Bernhard;Vries;1974;CDU;Hamburg-Mitte;-1;-1;2021
Falko;Droßmann;1973;SPD;Hamburg-Mitte;-1;-1;2021
Manuel;Muja;1991;GRÜNE;Hamburg-Mitte;-1;-1;2021
David Christopher;Stoop;1983;DIE LINKE;Hamburg-Mitte;-1;-1;2021
James Robert;Blum;1970;FDP;Hamburg-Mitte;-1;-1;2021
Nicole;Jordan;1974;AfD;Hamburg-Mitte;-1;-1;2021
Arne Gotthard;Ihlenfeld;1978;Die PARTEI;Hamburg-Mitte;-1;-1;2021
Ralf;Reimer;1963;FREIE WÄHLER;Hamburg-Mitte;-1;-1;2021
Sebastian;Bollien;1985;ÖDP;Hamburg-Mitte;-1;-1;2021
