Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;Listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Ulrike;Täck;1968;GRÜNE;-1;Schleswig-Holstein;13;Dr.-Ing.;;Boostedt;Ingenieurin, Professorin;2021
Nils;Bollenbach;2000;GRÜNE;-1;Schleswig-Holstein;14;;;Bargteheide;Filmschaffender, Künstler;2021
Nadine;Mai;1983;GRÜNE;-1;Schleswig-Holstein;15;;;Uetersen;Geschäftsführerin;2021
Martin;Drees;1964;GRÜNE;-1;Schleswig-Holstein;16;;;Wahlstorf;Dipl.-Sozialpädagoge;2021
Uta;Röpcke;1965;GRÜNE;-1;Schleswig-Holstein;17;;;Wyk auf Föhr;Kulturwissenschaftlerin, Verwaltungsangestellte;2021
Dirk Richard;Kock-Rohwer;1960;GRÜNE;-1;Schleswig-Holstein;18;;;Bönebüttel;Landwirt;2021
Nelly;Waldeck;1997;GRÜNE;-1;Schleswig-Holstein;19;;;Kiel;Studentin;2021
Luca Jan;Köpping;1997;GRÜNE;-1;Schleswig-Holstein;20;;;Kiel;Student;2021
Hannah;Wolf;1995;GRÜNE;-1;Schleswig-Holstein;21;;;Lübeck;Studentin;2021
Lydia Johanna;Rudow;1990;GRÜNE;-1;Schleswig-Holstein;22;;;Plön;Lehrerin;2021
Hildegard;Bedarff;1961;GRÜNE;-1;Schleswig-Holstein;23;Dr.;;Pinneberg;Politikwissenschaftlerin;2021
Jonathan;Morsch;2001;GRÜNE;-1;Schleswig-Holstein;24;;;Schwedeneck;Student;2021
Dorothee;Schnitzler;1956;GRÜNE;-1;Schleswig-Holstein;25;;;Kiel;Referentin;2021
Uwe;Witt;1959;AfD;-1;Schleswig-Holstein;1;;;Berlin;Dipl.-Betriebswirt (IDB);2021
Gereon;Bollmann;1953;AfD;-1;Schleswig-Holstein;2;;;Kiel;Richter a. D.;2021
Kerstin;Przygodda;1962;AfD;-1;Schleswig-Holstein;3;;;Malente;Schriftsetzer, Büroleiterin MdB Büro;2021
Wiebke;Neumann;1974;AfD;-1;Schleswig-Holstein;4;;;Trittau;kaufm. Angestellte;2021
Eike Julius;Reimers;1994;AfD;-1;Schleswig-Holstein;5;;;Kiel;Student;2021
Joachim Rudi;Schneider;1972;AfD;-1;Schleswig-Holstein;6;;;Elmshorn;IT-Systemadministrator;2021
Martina;Dibbern;1979;AfD;-1;Schleswig-Holstein;7;;;Altenholz;Steuerfachwirtin;2021
Sven;Wendorf;1972;AfD;-1;Schleswig-Holstein;8;;;Norderstedt;Verwaltungsfachangestellter;2021
Cornelia;Möhring;1960;DIE LINKE;-1;Schleswig-Holstein;1;;;Giekau;MdB, Dipl.-Sozialökonomin;2021
Lorenz Gösta;Beutin;1978;DIE LINKE;-1;Schleswig-Holstein;2;;;Kiel;MdB, Historiker;2021
Katrine;Hoop;1970;DIE LINKE;-1;Schleswig-Holstein;3;;;Flensburg;Kriminologin, Sozialpädagogin;2021
Susanne;Spethmann;1979;DIE LINKE;-1;Schleswig-Holstein;4;;;Kasseedorf;Krankenschwester;2021
Sophie;Bachmann;1988;DIE LINKE;-1;Schleswig-Holstein;5;;;Lübeck;Psychologin;2021
Maximilian;Reimers;1999;DIE LINKE;-1;Schleswig-Holstein;6;;;Rendsburg;Student;2021
Karolin;Wunderlich;1989;Die PARTEI;-1;Schleswig-Holstein;1;;;Kiel;Theaterpädagogin;2021
Natalie;Demmer;1995;Die PARTEI;-1;Schleswig-Holstein;2;;;Kiel;Studentin;2021
Fabienne;Brozio;1988;Die PARTEI;-1;Schleswig-Holstein;3;;;Flensburg;Bootsbauerin;2021
Erkan;Inak;1987;Die PARTEI;-1;Schleswig-Holstein;4;;;Wedel;Kundenbetreuer;2021
Simone;Kaletsch;1972;Die PARTEI;-1;Schleswig-Holstein;5;;;Pronstorf;Lehrerin;2021
Georg;Weigand;1983;Die PARTEI;-1;Schleswig-Holstein;6;;;Kiel;Sachbearbeiter;2021
Alexander Sebastian;Schacht;1982;Die PARTEI;-1;Schleswig-Holstein;7;;;Lübeck;Softwareentwickler;2021
Arne;Schönfelder;1970;Die PARTEI;-1;Schleswig-Holstein;8;;;Großhansdorf;Zimmermeister;2021
Ines;Liedtke;1982;Die PARTEI;-1;Schleswig-Holstein;9;;;Norderstedt;Angestellte;2021
David;Hoeftmann;1976;Die PARTEI;-1;Schleswig-Holstein;10;;;Wahlstedt;Fernmeldemonteur;2021
Joy-Phyllis;Kaletsch;2003;Die PARTEI;-1;Schleswig-Holstein;11;;;Pronstorf;Schülerin;2021
Yorik Timo;Hansen;2002;Die PARTEI;-1;Schleswig-Holstein;12;;;Kronshagen;Student;2021
Alexandra;Richter;1974;Die PARTEI;-1;Schleswig-Holstein;13;;;Kisdorf;Beamtin;2021
Michael;Grenz;1973;Die PARTEI;-1;Schleswig-Holstein;14;;;Borstel-Hohenraden;kaufm. Leiter;2021
Patricia;Soares;2003;Die PARTEI;-1;Schleswig-Holstein;15;;;Wahlstedt;Schülerin;2021
Maria-Lena;Zeplin;1997;Die PARTEI;-1;Schleswig-Holstein;16;;;Lübeck;Auszubildende Ergotherapeutin;2021
Vivien;Rotenberger;2001;Die PARTEI;-1;Schleswig-Holstein;17;;;Högersdorf;Schülerin;2021
Nils-Hermann;Saul;1980;Die PARTEI;-1;Schleswig-Holstein;18;;;Rendsburg;Versicherungskaufmann;2021
Ove Joachim;Schröter;1967;Die PARTEI;-1;Schleswig-Holstein;19;;;Kiel;kaufm. Angestellter;2021
Nanke Therese;Salto;1994;Die PARTEI;-1;Schleswig-Holstein;20;;;Kiel;med. Fachangestellte;2021
Pablo;Wittrock;1984;Die PARTEI;-1;Schleswig-Holstein;21;;;Kiel;Erzieher;2021
Jens;Wemhöner;1994;Die PARTEI;-1;Schleswig-Holstein;22;;;Kiel;Chemielaborant;2021
Noah;Peeters;1999;Die PARTEI;-1;Schleswig-Holstein;23;;;Geesthacht;Student;2021
Nils-Henrik;Köhler;1991;Die PARTEI;-1;Schleswig-Holstein;24;;;Kiel;Gesundheits- und Krankenpfleger;2021
Sascha;Wienck;1980;Die PARTEI;-1;Schleswig-Holstein;25;;;Lübeck;Modell;2021
Frauke;Koch;1961;Die PARTEI;-1;Schleswig-Holstein;26;;;Reinbek;techn. Angestellte im Umweltschutz;2021
Mirko;Rohde;1996;Die PARTEI;-1;Schleswig-Holstein;27;;;Rendsburg;Produktionsarbeiter;2021
Gregor;Voht;1990;FREIE WÄHLER;-1;Schleswig-Holstein;1;;;Lübeck;Unternehmer;2021
Julia;Glagau;1983;FREIE WÄHLER;-1;Schleswig-Holstein;2;;;Norderstedt;Gesundheits- und Krankenpflegerin;2021
David Frederic;Gutzeit;2001;FREIE WÄHLER;-1;Schleswig-Holstein;3;;;Eutin;Student;2021
Traymont;Wilhelmi;1992;FREIE WÄHLER;-1;Schleswig-Holstein;4;;;Flensburg;Werkstudent im Einzel- und Grenzhandel;2021
Kathrin;Arbeck;1969;FREIE WÄHLER;-1;Schleswig-Holstein;5;;;Norderstedt;Flugbegleiterin;2021
Andreas;Rothgaenger;1973;FREIE WÄHLER;-1;Schleswig-Holstein;6;;;Flensburg;Industriemeister Elektrotechnik;2021
Melanie;Görtz;1979;FREIE WÄHLER;-1;Schleswig-Holstein;7;;;Norderstedt;Außenhandelsfachwirtin;2021
Johanna Ursula;Meißner;1961;FREIE WÄHLER;-1;Schleswig-Holstein;8;;;Süderbrarup;Krankenpflegehelferin;2021
Katja;Thedens;1965;FREIE WÄHLER;-1;Schleswig-Holstein;9;;;Norderstedt;Personalreferentin;2021
Mark;Proch;1965;NPD;-1;Schleswig-Holstein;1;;;Neumünster;Hochdruckrohrschlosser;2021
Karin Christine;Mundt;1973;NPD;-1;Schleswig-Holstein;2;;;Rendsburg;Bürokauffrau;2021
Wolfgang;Schimmel;1962;NPD;-1;Schleswig-Holstein;3;;;Leezen;Dipl.-Ingenieur;2021
Michael;Hannemann;1981;NPD;-1;Schleswig-Holstein;4;;;Högel;Schlachter, Fleischer;2021
Thomas;Weber;1969;ÖDP;-1;Schleswig-Holstein;1;;;Fehmarn;Rezeptionist;2021
Volker;Behrendt;1967;ÖDP;-1;Schleswig-Holstein;2;;;Wakendorf II;Dipl.-Finanzwirt (FH);2021
Andreas Günter;Wilk;1962;ÖDP;-1;Schleswig-Holstein;3;;;Bokel;DV-Berater;2021
Michael;Möller;1974;ÖDP;-1;Schleswig-Holstein;4;;;Barsbüttel;Schulsozialarbeiter;2021
Hubert;Ohlendorf;1953;ÖDP;-1;Schleswig-Holstein;5;;;Lübeck;Rentner;2021
Maria;Meyer;1954;MLPD;-1;Schleswig-Holstein;1;;;Lübeck;Sozialpädagogin, Rentnerin;2021
