Gruppenname;Gebietsnummer;jahr;Anzahl
FDP;17;2021;9825
GRÜNE;17;2021;7573
Tierschutzpartei;17;2021;0
NPD;17;2021;0
Die PARTEI;17;2021;0
FREIE WÄHLER;17;2021;4264
MLPD;17;2021;445
ÖDP;17;2021;0
dieBasis;17;2021;0
DKP;17;2021;0
Die Humanisten;17;2021;0
PIRATEN;17;2021;0
Team Todenhöfer;17;2021;0
Volt;17;2021;0
CDU;18;2021;23231
SPD;18;2021;59229
GRÜNE;18;2021;46326
DIE LINKE;18;2021;16195
FDP;18;2021;14424
AfD;18;2021;8664
Die PARTEI;18;2021;4251
Tierschutzpartei;18;2021;0
FREIE WÄHLER;18;2021;1340
ÖDP;18;2021;704
V-Partei³;18;2021;0
NPD;18;2021;136
MLPD;18;2021;194
DKP;18;2021;0
dieBasis;18;2021;2940
BÜNDNIS21;18;2021;0
du.;18;2021;0
LKR;18;2021;0
Die Humanisten;18;2021;0
PIRATEN;18;2021;0
Team Todenhöfer;18;2021;0
Volt;18;2021;0
EB: Janoske-Kizildag;18;2021;564
CDU;19;2021;25441
SPD;19;2021;43427
GRÜNE;19;2021;45063
DIE LINKE;19;2021;14716
FDP;19;2021;12380
AfD;19;2021;5191
Die PARTEI;19;2021;0
Tierschutzpartei;19;2021;0
FREIE WÄHLER;19;2021;756
ÖDP;19;2021;571
V-Partei³;19;2021;0
NPD;19;2021;0
MLPD;19;2021;209
DKP;19;2021;0
dieBasis;19;2021;2619
BÜNDNIS21;19;2021;0
du.;19;2021;0
LKR;19;2021;0
Die Humanisten;19;2021;0
PIRATEN;19;2021;1351
Team Todenhöfer;19;2021;0
Volt;19;2021;0
ÖLDP;19;2021;159
CDU;20;2021;27462
SPD;20;2021;47375
GRÜNE;20;2021;47734
DIE LINKE;20;2021;11351
FDP;20;2021;12957
AfD;20;2021;5450
Die PARTEI;20;2021;2334
Tierschutzpartei;20;2021;0
FREIE WÄHLER;20;2021;998
ÖDP;20;2021;450
V-Partei³;20;2021;0
NPD;20;2021;0
MLPD;20;2021;137
DKP;20;2021;0
dieBasis;20;2021;2400
